row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2022VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2021VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2022VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2021VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,1.102.157.541.755,1.083.849.999.390,1102157541755.0,1083849999390.0
Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,,
"- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia","Các khoản điều chỉnh giảm: > - Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia","- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia",(922.245.842.406),(826.755.373.661),-922245842406.0,-826755373661.0
- Lãi chênh lệch tỷ giá chưa thực hiện,Các khoản điều chỉnh giảm: > - Lãi chênh lệch tỷ giá chưa thực hiện,- Lãi chênh lệch tỷ giá chưa thực hiện,(8.354.048),-,-8354048.0,
Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,,
- Lỗ chênh lệch tỷ giá chưa thực hiện,Các khoản điều chỉnh tăng: > - Lỗ chênh lệch tỷ giá chưa thực hiện,- Lỗ chênh lệch tỷ giá chưa thực hiện,-,3.709.422,,3709422.0
- Chi phí không được khấu trừ thuế,Các khoản điều chỉnh tăng: > - Chi phí không được khấu trừ thuế,- Chi phí không được khấu trừ thuế,2.919.344.305,9.336.193.021,2919344305.0,9336193021.0
Thu nhập chịu thuế ước tính trong năm,Các khoản điều chỉnh tăng: > Thu nhập chịu thuế ước tính trong năm,Thu nhập chịu thuế ước tính trong năm,182.822.689.606,266.434.528.172,182822689606.0,266434528172.0
Thuế suất thuế thu nhập doanh nghiệp,Các khoản điều chỉnh tăng: > Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,20%,20%,0.2,0.2
Thuế TNDN phải trả ước tính trên thu nhập chịu thuế,Các khoản điều chỉnh tăng: > Thuế TNDN phải trả ước tính trên thu nhập chịu thuế,Thuế TNDN phải trả ước tính trên thu nhập chịu thuế,36.564.537.921,53.286.905.634,36564537921.0,53286905634.0
Thuế TNDN phải trả đầu năm,Các khoản điều chỉnh tăng: > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,20.573.249.742,12.086.344.108,20573249742.0,12086344108.0
Thuế TNDN đã trả trong năm,Các khoản điều chỉnh tăng: > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(52.803.249.742),(44.800.000.000),-52803249742.0,-44800000000.0
Thuế TNDN phải trả cuối năm,Các khoản điều chỉnh tăng: > Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,4.334.537.921,20.573.249.742,4334537921.0,20573249742.0
