row_label_raw,row_label_full,Thuế và các khoản phải nộp cho Nhà nước (xem thuyết minh số VIII.2),Số cuối năm > 57.956,Số đầu năm > 50.127,numeric__Số cuối năm > 57.956,numeric__Số đầu năm > 50.127
"Phải trả cho cán bộ, công nhân viên","Phải trả cho cán bộ, công nhân viên","Phải trả cho cán bộ, công nhân viên",24.278,-,24278.0,
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,864.075,1.032.271,864075.0,1032271.0
Quỹ khen thưởng và phúc lợi (i),Quỹ khen thưởng và phúc lợi (i),Quỹ khen thưởng và phúc lợi (i),6.415,47.508,6415.0,47508.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,7.347,1.500,7347.0,1500.0
Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,Tiền giữ hộ và đợi thanh toán,24.397,26.818,24397.0,26818.0
Phải trả khác,Phải trả khác,Phải trả khác,120.524,33.059,120524.0,33059.0
Cộng,Cộng,Cộng,1.104.992,1.191.283,1104992.0,1191283.0
