row_label_raw,row_label_full,Nợ phát trả tài chính,Nợ phát trả tài chính_1,Nợ phát trả tài chính_2,numeric__Nợ phát trả tài chính_1,numeric__Nợ phát trả tài chính_2
,,,Số cuối năm,Số đầu năm,,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,18.118.930,26.098.723,18118930.0,26098723.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,57.215.845,52.521.563,57215845.0,52521563.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,3.459.091,-,3459091.0,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,25.404,-,25404.0,
"Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",1.628.329,1.092.550,1628329.0,1092550.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,1.016.343,1.093.648,1016343.0,1093648.0
Cộng,Cộng,Cộng,81.463.942,80.806.484,81463942.0,80806484.0
