row_label_raw,row_label_full,Họ và tên,Chức vụ,Ngày bổ nhiệm/mền nhiệm/tai bổ nhiệm,numeric__Chức vụ,numeric__Ngày bổ nhiệm/mền nhiệm/tai bổ nhiệm
Ông Trần Ngọc Minh,Ông Trần Ngọc Minh,Ông Trần Ngọc Minh,Tổng Giám đốc,,,
Ông Lê Trung Việt,Ông Lê Trung Việt,Ông Lê Trung Việt,Phó Tổng Giám đốc,Tái bổ nhiệm ngày 01 tháng 7 năm 2023,,
Ông Nguyễn Hoàng An,Ông Nguyễn Hoàng An,Ông Nguyễn Hoàng An,Phó Tổng Giám đốc,Tái bổ nhiệm ngày 01 tháng 7 năm 2023,,
Ông Nguyễn Văn Minh,Ông Nguyễn Văn Minh,Ông Nguyễn Văn Minh,Phó Tổng Giám đốc,Tái bổ nhiệm ngày 05 tháng 01 năm 2023,,
Ông Trần Văn Thái Bình,Ông Trần Văn Thái Bình,Ông Trần Văn Thái Bình,Phó Tổng Giám đốc,Tái bổ nhiệm ngày 24 tháng 5 năm 2023,,
Ông Trần Hồng Minh,Ông Trần Hồng Minh,Ông Trần Hồng Minh,Phó Tổng Giám đốc,Tái bổ nhiệm ngày 25 tháng 11 năm 2023,,
Ông Đỗ Văn Bắc,Ông Đỗ Văn Bắc,Ông Đỗ Văn Bắc,Phó Tổng Giám đốc,Bố nhiệm ngày 22 tháng 9 năm 2023,,
Bà Phạm Thị Mỹ Chi,Bà Phạm Thị Mỹ Chi,Bà Phạm Thị Mỹ Chi,Phó Tổng Giám đốc,Tái bổ nhiệm ngày 01 tháng 7 năm 2023Miễn nhiệm ngày 01 tháng 11 năm 2023,,
Bà Nguyễn Thị Thanh Huống,Bà Nguyễn Thị Thanh Huống,Bà Nguyễn Thị Thanh Huống,Phó Tổng Giám đốc,Bố nhiệm ngày 05 tháng 01 năm 2023Miễn nhiệm ngày 22 tháng 9 năm 2023,,
Ông Đỗ Anh Tuấn,Ông Đỗ Anh Tuấn,Ông Đỗ Anh Tuấn,Phó Tổng Giám đốc,Miễn nhiệm ngày 06 tháng 3 năm 2023,,
