row_label_raw,row_label_full,Cho vay khanh hàng,Cho vay khanh hàng_1,Cho vay khanh hàng_2,numeric__Cho vay khanh hàng_1,numeric__Cho vay khanh hàng_2
,,,Số cuối năm,Số đầu năm,,
Cho vay các tổ chức kinh tế và cá nhân trong nước,Cho vay các tổ chức kinh tế và cá nhân trong nước,Cho vay các tổ chức kinh tế và cá nhân trong nước,51.783.052,44.700.596,51783052.0,44700596.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",,1.999,,1999.0
Cộng,Cộng,Cộng,51.783.052,44.702.595,51783052.0,44702595.0
Phân tích chất lượng nợ vay,Phân tích chất lượng nợ vay,Phân tích chất lượng nợ vay,Phân tích chất lượng nợ vay,Phân tích chất lượng nợ vay,,
,,,Số cuối năm,Số đầu năm,,
Nợ đủ tiêu chuẩn,Phân tích chất lượng nợ vay > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,50.157.776,43.501.787,50157776.0,43501787.0
Nợ cần chú ý,Phân tích chất lượng nợ vay > Nợ cần chú ý,Nợ cần chú ý,623.705,355.793,623705.0,355793.0
Nợ dưới tiêu chuẩn,Phân tích chất lượng nợ vay > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,229.607,75.282,229607.0,75282.0
Nợ nghi ngờ,Phân tích chất lượng nợ vay > Nợ nghi ngờ,Nợ nghi ngờ,320.567,121.976,320567.0,121976.0
Nợ có khả năng mất vốn,Phân tích chất lượng nợ vay > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,451.397,647.757,451397.0,647757.0
Cộng,Phân tích chất lượng nợ vay > Cộng,Cộng,51.783.052,44.702.595,51783052.0,44702595.0
Phân tích dư nợ theo thời gian,Phân tích dư nợ theo thời gian,Phân tích dư nợ theo thời gian,Phân tích dư nợ theo thời gian,Phân tích dư nợ theo thời gian,,
,,,Số cuối năm,Số đầu năm,,
Nợ ngắn hạn,Phân tích dư nợ theo thời gian > Nợ ngắn hạn,Nợ ngắn hạn,30.074.064,27.619.454,30074064.0,27619454.0
Nợ trung hạn,Phân tích dư nợ theo thời gian > Nợ trung hạn,Nợ trung hạn,17.963.067,10.291.949,17963067.0,10291949.0
Nợ dài hạn,Phân tích dư nợ theo thời gian > Nợ dài hạn,Nợ dài hạn,3.745.921,6.791.192,3745921.0,6791192.0
Cộng,Phân tích dư nợ theo thời gian > Cộng,Cộng,51.783.052,44.702.595,51783052.0,44702595.0
