row_label_raw,row_label_full,col_0,Miền Bắc > Năm nay,Miền Bắc > Năm trước,Miền Trung > Năm nay,Miền Trung > Năm trước,Miền Nam > Năm nay,Miền Nam > Năm trước,Điều chỉnh > Năm nay,Điều chỉnh > Năm trước,Cộng > Năm nay,Cộng > Năm trước,numeric__Miền Bắc > Năm nay,numeric__Miền Bắc > Năm trước,numeric__Miền Trung > Năm nay,numeric__Miền Trung > Năm trước,numeric__Miền Nam > Năm nay,numeric__Miền Nam > Năm trước,numeric__Điều chỉnh > Năm nay,numeric__Điều chỉnh > Năm trước,numeric__Cộng > Năm nay,numeric__Cộng > Năm trước
I. Thu nhập,I. Thu nhập,I. Thu nhập,1.622.984,1.035.565,1.226.176,834.608,6.890.543,6.049.557,(894.539),(1.540.252),8.845.164,6.379.478,1622984.0,1035565.0,1226176.0,834608.0,6890543.0,6049557.0,-894539.0,-1540252.0,8845164.0,6379478.0
1. Thu nhập lãi,1. Thu nhập lãi,1. Thu nhập lãi,1.253.602,892.232,1.183.902,783.311,6.236.464,5.240.960,(894.539),(1.540.252),7.779.429,5.376.251,1253602.0,892232.0,1183902.0,783311.0,6236464.0,5240960.0,-894539.0,-1540252.0,7779429.0,5376251.0
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,363.840,128.318,23.276,45.113,156.499,223.776,-,-,543.615,397.207,363840.0,128318.0,23276.0,45113.0,156499.0,223776.0,,,543615.0,397207.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,5.542,15.015,18.998,6.184,497.580,584.821,-,-,522.120,606.020,5542.0,15015.0,18998.0,6184.0,497580.0,584821.0,,,522120.0,606020.0
II. Chi phí,II. Chi phí,II. Chi phí,1.063.162,639.227,1.133.437,733.091,6.413.630,5.391.290,(894.539),(1.540.252),7.715.690,5.223.356,1063162.0,639227.0,1133437.0,733091.0,6413630.0,5391290.0,-894539.0,-1540252.0,7715690.0,5223356.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,948.702,537.365,937.131,548.787,4.780.113,3.753.676,(894.539),(1.540.252),5.771.407,3.299.576,948702.0,537365.0,937131.0,548787.0,4780113.0,3753676.0,-894539.0,-1540252.0,5771407.0,3299576.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,764,903,7.638,7.969,63.730,57.924,-,-,72.132,66.796,764.0,903.0,7638.0,7969.0,63730.0,57924.0,,,72132.0,66796.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,113.696,100.959,188.668,176.335,1.569.787,1.579.690,-,-,1.872.151,1.856.984,113696.0,100959.0,188668.0,176335.0,1569787.0,1579690.0,,,1872151.0,1856984.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,559.822,396.338,92.739,101.517,476.913,658.267,-,-,1.129.474,1.156.122,559822.0,396338.0,92739.0,101517.0,476913.0,658267.0,,,1129474.0,1156122.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,37.592,112.906,141.259,63.073,239.069,296.414,-,-,417.920,472.393,37592.0,112906.0,141259.0,63073.0,239069.0,296414.0,,,417920.0,472393.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,522.230,283.432,(48.520),38.444,237.844,361.853,-,-,711.554,683.729,522230.0,283432.0,-48520.0,38444.0,237844.0,361853.0,,,711554.0,683729.0
