row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiện vậntải,Thiết bị dụng cụquản lý,Tài sản cố định hữuhình khác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiện vậntải,numeric__Thiết bị dụng cụquản lý,numeric__Tài sản cố định hữuhình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,640.017,231.630,198.037,407.150,1.662,1.478.496,640017.0,231630.0,198037.0,407150.0,1662.0,1478496.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,41.922,37.095,30.445,62.803,175,172.440,41922.0,37095.0,30445.0,62803.0,175.0,172440.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.377),(64.307),(19.672),(33.144),-,(121.500),-4377.0,-64307.0,-19672.0,-33144.0,,-121500.0
Tăng/(Giảm) khác,Nguyên giá > Tăng/(Giảm) khác,Tăng/(Giảm) khác,614,416,834,(377),(1.550),(63),614.0,416.0,834.0,-377.0,-1550.0,-63.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,678.176,204.834,209.644,436.432,287,1.529.373,678176.0,204834.0,209644.0,436432.0,287.0,1529373.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,184.511,199.691,136.099,228.752,185,749.238,184511.0,199691.0,136099.0,228752.0,185.0,749238.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,20.982,4.292,12.917,40.133,17,78.341,20982.0,4292.0,12917.0,40133.0,17.0,78341.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.963),(64.263),(19.305),(32.924),-,(120.455),-3963.0,-64263.0,-19305.0,-32924.0,,-120455.0
Tăng/(Giảm) khác,Giá trị hao mòn lũy kế > Tăng/(Giảm) khác,Tăng/(Giảm) khác,185,28,36,(83),(177),(11),185.0,28.0,36.0,-83.0,-177.0,-11.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,201.715,139.748,129.747,235.878,25,707.113,201715.0,139748.0,129747.0,235878.0,25.0,707113.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,455.506,31.939,61.938,178.398,1.477,729.258,455506.0,31939.0,61938.0,178398.0,1477.0,729258.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,476.461,65.086,79.897,200.554,262,822.260,476461.0,65086.0,79897.0,200554.0,262.0,822260.0
