row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy vi tính,Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.360.370,440.133,20.062,4.820.565,4360370.0,440133.0,20062.0,4820565.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,38.083,-,38.083,,38083.0,,38083.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.360.370,478.216,20.062,4.858.648,4360370.0,478216.0,20062.0,4858648.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.753,303.565,15.809,326.127,6753.0,303565.0,15809.0,326127.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,159,30.218,1.002,31.379,159.0,30218.0,1002.0,31379.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.912,333.783,16.811,357.506,6912.0,333783.0,16811.0,357506.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.353.617,136.568,4.253,4.494.438,4353617.0,136568.0,4253.0,4494438.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.353.458,144.433,3.251,4.501.142,4353458.0,144433.0,3251.0,4501142.0
