row_label_raw,row_label_full,CHỈ TIÊU,EUR quy đổi > Triệu VND,USD quy đổi > Triệu VND,Các ngoại tệ khácđược quy đổi > Triệu VND,Tổng > Triệu VND,numeric__EUR quy đổi > Triệu VND,numeric__USD quy đổi > Triệu VND,numeric__Các ngoại tệ khácđược quy đổi > Triệu VND,numeric__Tổng > Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,30.583,212.064,99,242.746,30583.0,212064.0,99.0,242746.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,6.887,431.777,-,438.664,6887.0,431777.0,,438664.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),39.645,13.638.212,56.406,13.734.263,39645.0,13638212.0,56406.0,13734263.0
Công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,-,3.869.731,-,3.869.731,,3869731.0,,3869731.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),554.995,1.714.244,-,2.269.239,554995.0,1714244.0,,2269239.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,50,6.633.962,-,6.634.012,50.0,6633962.0,,6634012.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,632.160,26.499.990,56.505,27.188.655,632160.0,26499990.0,56505.0,27188655.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,18.668.766,6.169,18.674.935,,18668766.0,6169.0,18674935.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,69.956,7.572.192,12.848,7.654.996,69956.0,7572192.0,12848.0,7654996.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,31.839,31.839,,,31839.0,31839.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",554.995,260.910,-,815.905,554995.0,260910.0,,815905.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,1.136,241.411,281,242.828,1136.0,241411.0,281.0,242828.0
Vốn và các quỹ,Vốn và các quỹ,Vốn và các quỹ,-,-,-,-,,,,
Tổng Nợ phải trả và vốn chủ sở hữu,Vốn và các quỹ > Tổng Nợ phải trả và vốn chủ sở hữu,Tổng Nợ phải trả và vốn chủ sở hữu,626.087,26.743.279,51.137,27.420.503,626087.0,26743279.0,51137.0,27420503.0
Trạng thái tiền tệ nội bằng,Vốn và các quỹ > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,6.073,(243.289),5.368,(231.848),6073.0,-243289.0,5368.0,-231848.0
Trạng thái tiền tệ ngoại bằng,Vốn và các quỹ > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,-,251.678,3.124,254.802,,251678.0,3124.0,254802.0
"Trạng thái tiền tệ nội, ngoại bằng","Vốn và các quỹ > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",6.073,8.389,8.492,22.954,6073.0,8389.0,8492.0,22954.0
