row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,25,49.457.531,55.921.747,,25.0,49457531.0,55921747.0
2.,2.,2.,Chi phí lãi và các chi phí tương tự,26,(28.919.461),(37.825.621),,26.0,-28919461.0,-37825621.0
I.,I.,I.,Thu nhập lãi thuần,,20.538.070,18.096.126,,,20538070.0,18096126.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,1.523.791,747.446,,,1523791.0,747446.0
4.,4.,4.,Chi phí hoạt động dịch vụ,,(252.508),(298.343),,,-252508.0,-298343.0
II.,II.,II.,Lãi thuần từ hoạt động dịch vụ,27,1.271.283,449.103,,27.0,1271283.0,449103.0
III.,III.,III.,Lãi thuần từ hoạt động kinh doanh ngoại hồi,28,85.849,281.250,,28.0,85849.0,281250.0
IV.,IV.,IV.,Lãi thuần từ mua bán chứng khoán kinh doanh,29.1,3.847,10.328,,291.0,3847.0,10328.0
V.,V.,V.,(Lỗ)/Lãi thuần từ mua bán chứng khoán đầu tư,29.2,(218.061),27.981,,292.0,-218061.0,27981.0
5.,5.,5.,Thu nhập từ hoạt động khác,,1.338.324,470.450,,,1338324.0,470450.0
6.,6.,6.,Chi phí hoạt động khác,,(184.101),(59.611),,,-184101.0,-59611.0
VI.,VI.,VI.,Lãi thuần từ hoạt động khác,30,1.154.223,410.839,,30.0,1154223.0,410839.0
VII.,VII.,VII.,"Thu nhập từ góp vốn, mua cổ phần",31,40.972,737.398,,31.0,40972.0,737398.0
VIII.,VIII.,VIII.,Chi phí hoạt động,32,(5.591.847),(4.679.134),,32.0,-5591847.0,-4679134.0
IX.,IX.,IX.,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,17.284.336,15.333.891,,,17284336.0,15333891.0
X.,X.,X.,Chi phí dự phòng rủi ro tín dụng,33,(5.945.083),(6.175.275),,33.0,-5945083.0,-6175275.0
XI.,XI.,XI.,Tổng lợi nhuận trước thuế,,11.339.253,9.158.616,,,11339253.0,9158616.0
7.,7.,7.,Chi phí thuế TNDN hiện hành,34,(2.207.215),(1.838.540),,34.0,-2207215.0,-1838540.0
XII.,XII.,XII.,Chi phí thuế TNDN,,(2.207.215),(1.838.540),,,-2207215.0,-1838540.0
XIII.,XIII.,XIII.,Lợi nhuận sau thuế TNDN,,9.132.038,7.320.076,,,9132038.0,7320076.0
