row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ khác,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ khác,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,36.193.981,1.449.603,(5.260),23.551,3.384.369,1.671.385,1.022,7.154.262,49.872.913,36193981.0,1449603.0,-5260.0,23551.0,3384369.0,1671385.0,1022.0,7154262.0,49872913.0
Tăng vốn trong năm (i),Tăng vốn trong năm (i),Tăng vốn trong năm (i),435.104,-,-,,-,-,-,-,435.104,435104.0,,,,,,,,435104.0
Chia cổ tức (Thuyết minh số 24.4),Chia cổ tức (Thuyết minh số 24.4),Chia cổ tức (Thuyết minh số 24.4),-,-,-,-,-,-,-,(1.831.206),(1.831.206),,,,,,,,-1831206.0,-1831206.0
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,,-,-,-,9.132.038,9.132.038,,,,,,,,9132038.0,9132038.0
Trích quỹ trong năm (ii),Trích quỹ trong năm (ii),Trích quỹ trong năm (ii),-,-,-,-,-,-,219.602,(292.803),(73.201),,,,,,,219602.0,-292803.0,-73201.0
Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,-,-,-,-,913.204,913.204,-,(1.826.408),-,,,,,913204.0,913204.0,,-1826408.0,
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,,(125),-,-,(34.171),(34.296),,,,,-125.0,,,-34171.0,-34296.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,36.629.085,1.449.603,(5.260),23.551,4.297.448,2.584.589,220.624,12.301.712,57.501.352,36629085.0,1449603.0,-5260.0,23551.0,4297448.0,2584589.0,220624.0,12301712.0,57501352.0
