row_label_raw,row_label_full,col_0,Phải thu/(phải trả),Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1
,,,Số cuối năm,Số đầu năm,,
,,,Triệu VND,Triệu VND,,
SHB AMC,SHB AMC,SHB AMC,SHB AMC,SHB AMC,,
- Góp vốn,SHB AMC > - Góp vốn,- Góp vốn,20.000,20.000,20000.0,20000.0
- Nhận tiền gửi không kỳ hạn và có kỳ hạn,SHB AMC > - Nhận tiền gửi không kỳ hạn và có kỳ hạn,- Nhận tiền gửi không kỳ hạn và có kỳ hạn,(47.091),(39.542),-47091.0,-39542.0
- Lãi dự trả tiền gửi,SHB AMC > - Lãi dự trả tiền gửi,- Lãi dự trả tiền gửi,(555),(1.231),-555.0,-1231.0
SHB Lào,SHB Lào,SHB Lào,SHB Lào,SHB Lào,,
- Góp vốn,SHB Lào > - Góp vốn,- Góp vốn,1.279.488,1.279.488,1279488.0,1279488.0
- Nhận tiền gửi không kỳ hạn,SHB Lào > - Nhận tiền gửi không kỳ hạn,- Nhận tiền gửi không kỳ hạn,(387.901),(252.207),-387901.0,-252207.0
- Tiền gửi không kỳ hạn và có kỳ hạn,SHB Lào > - Tiền gửi không kỳ hạn và có kỳ hạn,- Tiền gửi không kỳ hạn và có kỳ hạn,827.998,1.642.718,827998.0,1642718.0
- Lãi dự thu tiền gửi,SHB Lào > - Lãi dự thu tiền gửi,- Lãi dự thu tiền gửi,1.875,7.468,1875.0,7468.0
SHB Campuchia,SHB Campuchia,SHB Campuchia,SHB Campuchia,SHB Campuchia,,
- Góp vốn,SHB Campuchia > - Góp vốn,- Góp vốn,1.744.452,1.744.452,1744452.0,1744452.0
- Nhận tiền gửi không kỳ hạn và có kỳ hạn,SHB Campuchia > - Nhận tiền gửi không kỳ hạn và có kỳ hạn,- Nhận tiền gửi không kỳ hạn và có kỳ hạn,(598.910),(328.667),-598910.0,-328667.0
- Tiền gửi không kỳ hạn và có kỳ hạn,SHB Campuchia > - Tiền gửi không kỳ hạn và có kỳ hạn,- Tiền gửi không kỳ hạn và có kỳ hạn,6.546.626,6.496.590,6546626.0,6496590.0
- Lãi dự thu tiền gửi,SHB Campuchia > - Lãi dự thu tiền gửi,- Lãi dự thu tiền gửi,-,31.982,,31982.0
SHB FC,SHB FC,SHB FC,SHB FC,SHB FC,,
- Góp vốn,SHB FC > - Góp vốn,- Góp vốn,500.000,500.000,500000.0,500000.0
- Nhận tiền gửi không kỳ hạn và có kỳ hạn,SHB FC > - Nhận tiền gửi không kỳ hạn và có kỳ hạn,- Nhận tiền gửi không kỳ hạn và có kỳ hạn,(50.840),(175.015),-50840.0,-175015.0
- Tiền gửi không kỳ hạn và có kỳ hạn,SHB FC > - Tiền gửi không kỳ hạn và có kỳ hạn,- Tiền gửi không kỳ hạn và có kỳ hạn,1.975.000,1.970.000,1975000.0,1970000.0
- Lãi dự trả tiền gửi,SHB FC > - Lãi dự trả tiền gửi,- Lãi dự trả tiền gửi,(1),(18),-1.0,-18.0
- Lãi dự thu tiền gửi,SHB FC > - Lãi dự thu tiền gửi,- Lãi dự thu tiền gửi,10.023,7.100,10023.0,7100.0
Công ty Cổ phần Tập đoàn T&T,Công ty Cổ phần Tập đoàn T&T,Công ty Cổ phần Tập đoàn T&T,Công ty Cổ phần Tập đoàn T&T,Công ty Cổ phần Tập đoàn T&T,,
