row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,Tiền mặt,5,1.505.879,1.324.728,,5.0,1505879.0,1324728.0
II.,A. > II.,II.,"Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")",6,26.288.908,53.367.977,,6.0,26288908.0,53367977.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,7,123.929.877,71.532.886,,7.0,123929877.0,71532886.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,99.216.617,62.809.863,,,99216617.0,62809863.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,24.713.260,8.841.433,,,24713260.0,8841433.0
3.,A. > 3.,3.,Dự phòng rủi ro cho vay các TCTD khác,8,-,(118.410),,8.0,,-118410.0
IV.,A. > IV.,IV.,Chứng khoán kinh doanh,9,4.908.635,7.790.402,,9.0,4908635.0,7790402.0
1.,A. > 1.,1.,Chứng khoán kinh doanh,,4.945.728,7.849.272,,,4945728.0,7849272.0
2.,A. > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(37.093),(58.870),,,-37093.0,-58870.0
V.,A. > V.,V.,Cho vay khách hàng,,497.952.391,415.915.509,,,497952391.0,415915509.0
1.,A. > 1.,1.,Cho vay khách hàng,11,506.112.656,424.701.173,,11.0,506112656.0,424701173.0
2.,A. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,12,(8.160.265),(8.785.664),,12.0,-8160265.0,-8785664.0
VI.,A. > VI.,VI.,Chứng khoán đầu tư,13,32.335.975,32.063.660,,13.0,32335975.0,32063660.0
1.,A. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,13.1,14.956.915,14.373.759,,131.0,14956915.0,14373759.0
2.,A. > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,13.2,17.812.962,17.833.636,,132.0,17812962.0,17833636.0
3.,A. > 3.,3.,Dự phòng giảm giá chứng khoán đầu tư,13.4,(433.902),(143.735),,134.0,-433902.0,-143735.0
VII.,A. > VII.,VII.,"Góp vốn, đầu tư dài hạn",14,3.615.217,3.615.216,,14.0,3615217.0,3615216.0
1.,A. > 1.,1.,Đầu tư vào công ty con,14.1,3.043.940,3.043.940,,141.0,3043940.0,3043940.0
2.,A. > 2.,2.,Các khoản đầu tư vào công ty liên kết,14.2,500.000,500.000,,142.0,500000.0,500000.0
3.,A. > 3.,3.,Đầu tư dài hạn khác,14.3,158.272,158.272,,143.0,158272.0,158272.0
4.,A. > 4.,4.,Dự phòng giảm giá đầu tư dài hạn,14.4,(86.995),(86.996),,144.0,-86995.0,-86996.0
VIII.,A. > VIII.,VIII.,Tài sản cố định,15,5.323.402,5.223.696,,15.0,5323402.0,5223696.0
1.,A. > 1.,1.,Tài sản cố định hữu hình,15.1,822.260,729.258,,151.0,822260.0,729258.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,1.529.373,1.478.496,,,1529373.0,1478496.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(707.113),(749.238),,,-707113.0,-749238.0
2.,A. > 2.,2.,Tài sản cố định vô hình,15.2,4.501.142,4.494.438,,152.0,4501142.0,4494438.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,4.858.648,4.820.565,,,4858648.0,4820565.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(357.506),(326.127),,,-357506.0,-326127.0
IX.,A. > IX.,IX.,Tài sản Có khác,16,45.212.919,34.820.534,,16.0,45212919.0,34820534.0
1.,A. > 1.,1.,Các khoản phải thu,,32.680.021,18.109.014,,,32680021.0,18109014.0
2.,A. > 2.,2.,"Các khoản lãi, phí phải thu",,11.256.456,13.552.896,,,11256456.0,13552896.0
3.,A. > 3.,3.,Tài sản Có khác,16.3,1.393.797,3.240.147,,163.0,1393797.0,3240147.0
4.,A. > 4.,4.,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,16.4,(117.355),(81.523),,164.0,-117355.0,-81523.0
TỔNG TÀI SẢN CÓ,A. > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,741.073.203,625.654.608,,,741073203.0,625654608.0
