row_label_raw,row_label_full,Bà Nguyễn Thị Giang,Trường ban,numeric__Trường ban
Bà Nguyễn Thị Phượng,Bà Nguyễn Thị Phượng,Bà Nguyễn Thị Phượng,Thành viên,
Bà Văn Thị Lan Anh,Bà Văn Thị Lan Anh,Bà Văn Thị Lan Anh,Thành viên,
