row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm > Giá trị,Đơn vị tính: VND > Dự phòng,Đơn vị tính: VND > Giá trị,numeric__Số cuối năm,numeric__Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Dự phòng,numeric__Đơn vị tính: VND > Giá trị
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Khoản phải thu liên quan đến hợp đồng chuyển nhượng quyền thuê lại đất gắn với cơ sở hạ tầng (i),Ngắn hạn > Khoản phải thu liên quan đến hợp đồng chuyển nhượng quyền thuê lại đất gắn với cơ sở hạ tầng (i),Khoản phải thu liên quan đến hợp đồng chuyển nhượng quyền thuê lại đất gắn với cơ sở hạ tầng (i),69.203.510.366,-,-,-,69203510366.0,,,
Tạm ứng cho nhân viên (ii),Ngắn hạn > Tạm ứng cho nhân viên (ii),Tạm ứng cho nhân viên (ii),22.241.092.729,-,46.466.657.805,-,22241092729.0,,46466657805.0,
Lãi dự thu,Ngắn hạn > Lãi dự thu,Lãi dự thu,5.066.372.540,-,17.817.221.446,-,5066372540.0,,17817221446.0,
Cổ tức được chia,Ngắn hạn > Cổ tức được chia,Cổ tức được chia,-,-,2.661.000.000,-,,,2661000000.0,
"Ký cược, ký quỹ","Ngắn hạn > Ký cược, ký quỹ","Ký cược, ký quỹ",4.984.030.955,-,1.850.344.648,-,4984030955.0,,1850344648.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,2.767.244.252,-,8.486.750.704,(467.414.454),2767244252.0,,8486750704.0,-467414454.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,104.262.250.842,-,77.281.974.603,(467.414.454),104262250842.0,,77281974603.0,-467414454.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Phải thu ngắn hạn khác từ bên khác,Trong đó: > Phải thu ngắn hạn khác từ bên khác,Phải thu ngắn hạn khác từ bên khác,101.551.325.467,-,72.631.351.576,(467.414.454),101551325467.0,,72631351576.0,-467414454.0
Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 35),Trong đó: > Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 35),Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 35),2.710.925.375,-,4.650.623.027,-,2710925375.0,,4650623027.0,
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,,,
Lãi dự thu,Dải hạn > Lãi dự thu,Lãi dự thu,37.072.520.553,-,17.474.136.991,-,37072520553.0,,17474136991.0,
Phải thu theo các hợp đồng hợp tác (iii),Dải hạn > Phải thu theo các hợp đồng hợp tác (iii),Phải thu theo các hợp đồng hợp tác (iii),15.291.330.000,-,-,,15291330000.0,,,
"Ký cược, ký quỹ","Dải hạn > Ký cược, ký quỹ","Ký cược, ký quỹ",3.961.526.471,-,6.315.582.695,-,3961526471.0,,6315582695.0,
Phải thu khác,Dải hạn > Phải thu khác,Phải thu khác,2.891.649.691,-,2.358.418.282,-,2891649691.0,,2358418282.0,
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,59.217.026.715,-,26.148.137.968,-,59217026715.0,,26148137968.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Phải thu dài hạn khác từ bên khác,Trong đó: > Phải thu dài hạn khác từ bên khác,Phải thu dài hạn khác từ bên khác,22.144.506.162,-,8.674.000.977,-,22144506162.0,,8674000977.0,
Phải thu dài hạn khác từ các bên liên quan (Thuyết minh số 35),Trong đó: > Phải thu dài hạn khác từ các bên liên quan (Thuyết minh số 35),Phải thu dài hạn khác từ các bên liên quan (Thuyết minh số 35),37.072.520.553,-,17.474.136.991,-,37072520553.0,,17474136991.0,
