row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Mãy móc,thiết bị","Phương tiệnvận tải, thiết bịtruyền dẫn",Thiết bị văn phòng,Cây lâu năm,Tài sản cố địnhhửu hình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Mãy móc,thiết bị","numeric__Phương tiệnvận tải, thiết bịtruyền dẫn",numeric__Thiết bị văn phòng,numeric__Cây lâu năm,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.517.864.972.510,3.078.799.307.002,349.140.970.108,19.314.745.497,22.013.880.000,40.872.297.044,5.028.006.172.161,1517864972510.0,3078799307002.0,349140970108.0,19314745497.0,22013880000.0,40872297044.0,5028006172161.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,1.288.099.630,247.953.044.453,14.962.117.829,356.000.000,-,766.368.182,265.325.630.094,1288099630.0,247953044453.0,14962117829.0,356000000.0,,766368182.0,265325630094.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,10.968.278.854,-,-,-,-,39.466.267.378,50.434.546.232,10968278854.0,,,,,39466267378.0,50434546232.0
- Lắp đặt chạy thử hoàn thành,Nguyên giá: > - Lắp đặt chạy thử hoàn thành,- Lắp đặt chạy thử hoàn thành,-,55.828.277.060,-,-,-,-,55.828.277.060,,55828277060.0,,,,,55828277060.0
- Mua lại tài sản thuê tài chính,Nguyên giá: > - Mua lại tài sản thuê tài chính,- Mua lại tài sản thuê tài chính,-,20.634.481.676,293.883.333,-,-,-,20.928.365.009,,20634481676.0,293883333.0,,,,20928365009.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(827.000.000),(40.582.395.363),(14.944.747.481),-,-,-,(56.354.142.844),-827000000.0,-40582395363.0,-14944747481.0,,,,-56354142844.0
- Thoái vốn công ty con,Nguyên giá: > - Thoái vốn công ty con,- Thoái vốn công ty con,(171.288.643.359),(250.230.855.248),(129.391.246.594),(6.768.547.637),(3.959.730.000),(264.854.546),(561.903.877.384),-171288643359.0,-250230855248.0,-129391246594.0,-6768547637.0,-3959730000.0,-264854546.0,-561903877384.0
- Phân loại lại,Nguyên giá: > - Phân loại lại,- Phân loại lại,-,(1.182.818.181),1.182.818.181,-,-,-,-,,-1182818181.0,1182818181.0,,,,
"- Tăng, giảm khác","Nguyên giá: > - Tăng, giảm khác","- Tăng, giảm khác",(1.113.693.786),(1.535.143.472),3.418.066.699,1.049.091,-,(980.193.182),(209.914.650),-1113693786.0,-1535143472.0,3418066699.0,1049091.0,,-980193182.0,-209914650.0
