row_label_raw,row_label_full,Số đầu năm > Cộng: Dự phòng trích lập trong năm > Trừ: Sử dụng và hoàn nhập dự phòng trong năm,Đơn vị tính: VND > Năm nay > 1.699.756.340 > 1.147.550.656 > (1.214.367.112),Đơn vị tính: VND > Năm trước > 1.709.929.696 > 1.699.756.340 > (1.709.929.696),numeric__Đơn vị tính: VND > Năm nay > 1.699.756.340 > 1.147.550.656 > (1.214.367.112),numeric__Đơn vị tính: VND > Năm trước > 1.709.929.696 > 1.699.756.340 > (1.709.929.696)
Trừ: Thoái vốn công ty con,Trừ: Thoái vốn công ty con,Trừ: Thoái vốn công ty con,(634.015.767),-,-634015767.0,
Số cuối năm,Số cuối năm,Số cuối năm,998.924.117,1.699.756.340,998924117.0,1699756340.0
