row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng tồn kho hoạt động sản xuất và thương mại,Hàng tồn kho hoạt động sản xuất và thương mại,Hàng tồn kho hoạt động sản xuất và thương mại,Hàng tồn kho hoạt động sản xuất và thương mại,Hàng tồn kho hoạt động sản xuất và thương mại,Hàng tồn kho hoạt động sản xuất và thương mại,Hàng tồn kho hoạt động sản xuất và thương mại,,,,
Nguyên vật liệu,Hàng tồn kho hoạt động sản xuất và thương mại > Nguyên vật liệu,Nguyên vật liệu,395.150.579.483,-,433.649.214.059,-,395150579483.0,,433649214059.0,
Thành phẩm,Hàng tồn kho hoạt động sản xuất và thương mại > Thành phẩm,Thành phẩm,174.054.260.368,(998.924.117),179.620.480.684,(1.065.740.573),174054260368.0,-998924117.0,179620480684.0,-1065740573.0
Hàng mua đangđi đường,Hàng tồn kho hoạt động sản xuất và thương mại > Hàng mua đangđi đường,Hàng mua đangđi đường,125.038.644.139,-,340.687.385.851,-,125038644139.0,,340687385851.0,
Hàng gửi bán,Hàng tồn kho hoạt động sản xuất và thương mại > Hàng gửi bán,Hàng gửi bán,82.724.416.516,-,101.153.558.263,-,82724416516.0,,101153558263.0,
Chi phí sản xuấtkinh doanh đởdang,Hàng tồn kho hoạt động sản xuất và thương mại > Chi phí sản xuấtkinh doanh đởdang,Chi phí sản xuấtkinh doanh đởdang,66.066.886.404,-,55.899.220.344,-,66066886404.0,,55899220344.0,
"Công cụ, dụngcụ","Hàng tồn kho hoạt động sản xuất và thương mại > Công cụ, dụngcụ","Công cụ, dụngcụ",44.817.590.730,-,36.499.712.418,-,44817590730.0,,36499712418.0,
Hàng hóa,Hàng tồn kho hoạt động sản xuất và thương mại > Hàng hóa,Hàng hóa,43.089.074.618,-,127.124.795.552,(634.015.767),43089074618.0,,127124795552.0,-634015767.0
Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,,,,
Hạ tầng khusông nghiệp (*),Hàng tồn kho bất động sản > Hạ tầng khusông nghiệp (*),Hạ tầng khusông nghiệp (*),13.508.761.275,-,13.508.761.275,-,13508761275.0,,13508761275.0,
TỔNG CỘNG,Hàng tồn kho bất động sản > TỔNG CỘNG,TỔNG CỘNG,944.450.213.533,(998.924.117),1.288.143.128.446,(1.699.756.340),944450213533.0,-998924117.0,1288143128446.0,-1699756340.0
