row_label_raw,row_label_full,Bên vay,Số cuối năm > VND,Số cuối năm > Nguyên tệ (USD),Kỳ hạn trả gốc và lãi,Lãi suất (%/năm),Tài sản đảm bảo,numeric__Số cuối năm > VND,numeric__Số cuối năm > Nguyên tệ (USD),numeric__Kỳ hạn trả gốc và lãi,numeric__Lãi suất (%/năm),numeric__Tài sản đảm bảo
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,,,,,
Công ty Cổ phần Encapital Holdings,Ngắn hạn > Công ty Cổ phần Encapital Holdings,Công ty Cổ phần Encapital Holdings,210.000.000.000,,Gốc vay đáo hạn vào tháng 1 năm 2026. Lãi vay thu hồi cùng gốc.,6%,Tín chấp,210000000000.0,,,0.06,
Công ty Cổ phần Chứng khoán VNDirect,Ngắn hạn > Công ty Cổ phần Chứng khoán VNDirect,Công ty Cổ phần Chứng khoán VNDirect,90.000.000.000,,Gốc và lãi cho vay được hoàn trả tại ngày đáo hạn khoản vay với khoản trả nợ cuối cùng đáo hạn vào ngày 5 tháng 1 năm 2026.,"6,5%",Tín chấp,90000000000.0,,,0.065,
Stanley Holding Corporation,Ngắn hạn > Stanley Holding Corporation,Stanley Holding Corporation,13.086.500.000,500.000,Gốc vay đáo hạn vào tháng 12 năm 2026. Lãi vay thu hồi cùng gốc.,4%,Tín chấp,13086500000.0,500000.0,,0.04,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,313.086.500.000,,,,,313086500000.0,,,,
