row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,698.810.274.600,49.431.237.463,996.155.708.639,22.080.779.480,1.766.478.000.182,698810274600.0,49431237463.0,996155708639.0,22080779480.0,1766478000182.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,8.058.321.818,16.692.781.884,62.033.532.404,5.177.953.994,91.962.590.100,8058321818.0,16692781884.0,62033532404.0,5177953994.0,91962590100.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,87.285.640.266,-,-,-,87.285.640.266,87285640266.0,,,,87285640266.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(385.339.451),(20.748.130.429),-,(21.133.469.880),,-385339451.0,-20748130429.0,,-21133469880.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,794.154.236.684,65.738.679.896,1.037.441.110.614,27.258.733.474,1.924.592.760.668,794154236684.0,65738679896.0,1037441110614.0,27258733474.0,1924592760668.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,189.693.429.666,12.598.229.562,355.435.366.601,4.711.621.734,562.438.647.563,189693429666.0,12598229562.0,355435366601.0,4711621734.0,562438647563.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,54.653.835.640,8.294.387.291,113.694.841.213,3.172.916.269,179.815.980.413,54653835640.0,8294387291.0,113694841213.0,3172916269.0,179815980413.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(280.236.806),(8.333.493.243),-,(8.613.730.049),,-280236806.0,-8333493243.0,,-8613730049.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,244.347.265.306,20.612.380.047,460.796.714.571,7.884.538.003,733.640.897.927,244347265306.0,20612380047.0,460796714571.0,7884538003.0,733640897927.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,509.116.844.934,36.833.007.901,640.720.342.038,17.369.157.746,1.204.039.352.619,509116844934.0,36833007901.0,640720342038.0,17369157746.0,1204039352619.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,549.806.971.378,45.126.299.849,576.644.396.043,19.374.195.471,1.190.951.862.741,549806971378.0,45126299849.0,576644396043.0,19374195471.0,1190951862741.0
