row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.355.027.273,8.926.775.390,14.281.802.663,5355027273.0,8926775390.0,14281802663.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.622.688.859,1.622.688.859,,1622688859.0,1622688859.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,62.825.728,-,62.825.728,62825728.0,,62825728.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.417.853.001,10.549.464.249,15.967.317.250,5417853001.0,10549464249.0,15967317250.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,3.191.753.371,3.191.753.371,,3191753371.0,3191753371.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,1.823.895.128,1.823.895.128,,1823895128.0,1823895128.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,5.015.648.499,5.015.648.499,,5015648499.0,5015648499.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,5.355.027.273,5.735.022.019,11.090.049.292,5355027273.0,5735022019.0,11090049292.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,5.417.853.001,5.533.815.750,10.951.668.751,5417853001.0,5533815750.0,10951668751.0
