row_label_raw,row_label_full,col_0,31/12/2017VND,1/1/2017VND,numeric__31/12/2017VND,numeric__1/1/2017VND
Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,Người bán là các bên liên quan,,
Công ty TNHH Tuyến Container T.S Hà Nội,Người bán là các bên liên quan > Công ty TNHH Tuyến Container T.S Hà Nội,Công ty TNHH Tuyến Container T.S Hà Nội,452.059.640,-,452059640.0,
Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,Người bán là các bên thứ ba,,
Công ty TNHH APL-NOL Việt Nam,Người bán là các bên thứ ba > Công ty TNHH APL-NOL Việt Nam,Công ty TNHH APL-NOL Việt Nam,3.530.264.488,15.326.752.893,3530264488.0,15326752893.0
Công ty Cổ phần Đại lý Hàng hải Việt Nam,Người bán là các bên thứ ba > Công ty Cổ phần Đại lý Hàng hải Việt Nam,Công ty Cổ phần Đại lý Hàng hải Việt Nam,5.855.422.814,6.364.125.746,5855422814.0,6364125746.0
Công ty Liên doanh Đại lý vận tải Evergreen Việt Nam,Người bán là các bên thứ ba > Công ty Liên doanh Đại lý vận tải Evergreen Việt Nam,Công ty Liên doanh Đại lý vận tải Evergreen Việt Nam,13.304.945.107,16.148.252.766,13304945107.0,16148252766.0
Công ty TNHH OOCL Việt Nam,Người bán là các bên thứ ba > Công ty TNHH OOCL Việt Nam,Công ty TNHH OOCL Việt Nam,4.257.538.221,4.632.933.621,4257538221.0,4632933621.0
Công ty TNHH Cosco Container Lines Việt Nam,Người bán là các bên thứ ba > Công ty TNHH Cosco Container Lines Việt Nam,Công ty TNHH Cosco Container Lines Việt Nam,5.331.090.020,6.604.303.714,5331090020.0,6604303714.0
Công ty TNHH Bia Carlsberg Việt Nam,Người bán là các bên thứ ba > Công ty TNHH Bia Carlsberg Việt Nam,Công ty TNHH Bia Carlsberg Việt Nam,2.700.010.323,2.355.236.069,2700010323.0,2355236069.0
Ikea Supply AG,Người bán là các bên thứ ba > Ikea Supply AG,Ikea Supply AG,7.823.991.276,3.407.329.312,7823991276.0,3407329312.0
Maerk Line A/S,Người bán là các bên thứ ba > Maerk Line A/S,Maerk Line A/S,16.193.634.782,701.041.979,16193634782.0,701041979.0
"Mcc Transport Singapore Pte., Ltd","Người bán là các bên thứ ba > Mcc Transport Singapore Pte., Ltd","Mcc Transport Singapore Pte., Ltd",6.171.725.702,6.399.600,6171725702.0,6399600.0
Các khách hàng khác,Người bán là các bên thứ ba > Các khách hàng khác,Các khách hàng khác,61.689.979.111,57.314.016.193,61689979111.0,57314016193.0
,,,127.310.661.484,112.860.391.893,127310661484.0,112860391893.0
