row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Số cuối năm,Giá trị ghi sổ > Số đầu năm,numeric__Giá trị ghi sổ > Số cuối năm,numeric__Giá trị ghi sổ > Số đầu năm
,,,VND,VND,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,36.133.852.205,33.391.595.439,36133852205.0,33391595439.0
"Phải thu khách hàng, phải thu khác","Tài sản tài chính > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",10.651.380.488,16.451.331.459,10651380488.0,16451331459.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,36.000.000.000,91.690.000.000,36000000000.0,91690000000.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,3.347.372.297.286,3.347.372.297.286,3347372297286.0,3347372297286.0
Cộng,Tài sản tài chính > Cộng,Cộng,3.430.157.529.979,3.488.905.224.184,3430157529979.0,3488905224184.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,268.719.927.200,243.475.000.000,268719927200.0,243475000000.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,108.456.693.951,74.955.834.542,108456693951.0,74955834542.0
Chỉ phí phải trả,Công nợ tài chính > Chỉ phí phải trả,Chỉ phí phải trả,1.473.545.455,1.251.545.455,1473545455.0,1251545455.0
Cộng,Công nợ tài chính > Cộng,Cộng,378.650.166.606,319.682.379.997,378650166606.0,319682379997.0
