row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Đơn vị: VNDNăm trước(Trình bày lại),numeric__Mã số,numeric__Năm nay,numeric__Đơn vị: VNDNăm trước(Trình bày lại)
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,39.082.631.383,223.069.639.984,1.0,39082631383.0,223069639984.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,,,,
Khấu hao tài sản cố định và BĐSDĐT,2. Điều chỉnh cho các khoản > Khấu hao tài sản cố định và BĐSDĐT,Khấu hao tài sản cố định và BĐSDĐT,02,1.937.712.285,1.510.099.151,2.0,1937712285.0,1510099151.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,(11.007.887.478),2.750.436.056,3.0,-11007887478.0,2750436056.0
(Lãi)/lỗ chênh lệch tỷ giá hối doái do đánh giá lại các khoản mục tiền tệ,2. Điều chỉnh cho các khoản > (Lãi)/lỗ chênh lệch tỷ giá hối doái do đánh giá lại các khoản mục tiền tệ,(Lãi)/lỗ chênh lệch tỷ giá hối doái do đánh giá lại các khoản mục tiền tệ,04,(863.563.728),5.442.387.020,4.0,-863563728.0,5442387020.0
có gốc ngoại tệ,có gốc ngoại tệ,có gốc ngoại tệ,,,,,,
(Lãi)/lỗ từ hoạt động đầu tư,có gốc ngoại tệ > (Lãi)/lỗ từ hoạt động đầu tư,(Lãi)/lỗ từ hoạt động đầu tư,05,(3.861.139.211),(219.019.060.057),5.0,-3861139211.0,-219019060057.0
Chi phí lãi vay,có gốc ngoại tệ > Chi phí lãi vay,Chi phí lãi vay,06,14.274.229.987,8.374.640.273,6.0,14274229987.0,8374640273.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,có gốc ngoại tệ > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,39.561.983.238,22.128.142.427,8.0,39561983238.0,22128142427.0
(Tăng)/giảm các khoản phải thu,có gốc ngoại tệ > (Tăng)/giảm các khoản phải thu,(Tăng)/giảm các khoản phải thu,09,(7.093.450.406),582.624.383,9.0,-7093450406.0,582624383.0
(Tăng)/giảm hàng tồn kho,có gốc ngoại tệ > (Tăng)/giảm hàng tồn kho,(Tăng)/giảm hàng tồn kho,10,(129.893.996.220),123.315.014.633,10.0,-129893996220.0,123315014633.0
"Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","có gốc ngoại tệ > Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,39.366.172.659,12.167.862.047,11.0,39366172659.0,12167862047.0
(Tăng)/giảm chi phí trả trước,có gốc ngoại tệ > (Tăng)/giảm chi phí trả trước,(Tăng)/giảm chi phí trả trước,12,15.114.396,25.595.616,12.0,15114396.0,25595616.0
Tiền lãi vay đã trả,có gốc ngoại tệ > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(18.942.383.959),(8.374.640.273),14.0,-18942383959.0,-8374640273.0
Thuế thu nhập doanh nghiệp đã nộp,có gốc ngoại tệ > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(7.048.626.083),(15.077.695.135),15.0,-7048626083.0,-15077695135.0
Tiền chi khác cho hoạt động kinh doanh,có gốc ngoại tệ > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,-,68.006.054,17.0,,68006054.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,có gốc ngoại tệ > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(84.035.186.375),134.834.909.752,20.0,-84035186375.0,134834909752.0
II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"1. Tiền chỉ đề mua sắm, xây dựng TSCĐ và các TSDH khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chỉ đề mua sắm, xây dựng TSCĐ và các TSDH khác","1. Tiền chỉ đề mua sắm, xây dựng TSCĐ và các TSDH khác",21,-,(8.524.940.000),21.0,,-8524940000.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu từ thanh lý, nhượng bán TSCĐ","2. Tiền thu từ thanh lý, nhượng bán TSCĐ",22,136.363.636,1.318.181.818,22.0,136363636.0,1318181818.0
"3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác","3. Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",23,(15.000.000.000),(383.417.271.426),23.0,-15000000000.0,-383417271426.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,70.690.000.000,1.099.304.319.881,24.0,70690000000.0,1099304319881.0
5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,25,-,(2.318.340.000.000),25.0,,-2318340000000.0
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,-,923.506.000.000,26.0,,923506000000.0
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,5.711.156.946,299.967.391.913,27.0,5711156946.0,299967391913.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,61.537.520.582,(386.186.317.814),30.0,61537520582.0,-386186317814.0
III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,-,134.681.958.146,31.0,,134681958146.0
2. Tiền thu từ đi vay,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,164.938.446.200,275.475.000.000,33.0,164938446200.0,275475000000.0
3. Tiền trả nợ gốc vay,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,(139.693.519.000),(32.000.000.000),34.0,-139693519000.0,-32000000000.0
"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,-,(109.897.625.200),36.0,,-109897625200.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,25.244.927.200,268.259.332.946,40.0,25244927200.0,268259332946.0
Lưu chuyển tiền thuần trong năm (\( 50 = 20 + 30 + 40 \)),III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (\( 50 = 20 + 30 + 40 \)),Lưu chuyển tiền thuần trong năm (\( 50 = 20 + 30 + 40 \)),50,2.747.261.407,16.907.924.884,50.0,2747261407.0,16907924884.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,33.391.595.439,16.483.670.555,60.0,33391595439.0,16483670555.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(5.004.641),-,61.0,-5004641.0,
Tiền và tương đương tiền cuối năm (\( 70 = 50 + 60 + 61 \)),III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm (\( 70 = 50 + 60 + 61 \)),Tiền và tương đương tiền cuối năm (\( 70 = 50 + 60 + 61 \)),70,36.133.852.205,33.391.595.439,70.0,36133852205.0,33391595439.0
