row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,336.592.555.375,243.456.067.935,100.0,,336592555375.0,243456067935.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4,36.133.852.205,33.391.595.439,110.0,4.0,36133852205.0,33391595439.0
1. Tiền,1. Tiền,1. Tiền,111,,36.133.852.205,33.391.595.439,111.0,,36133852205.0,33391595439.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5,36.000.000.000,91.690.000.000,120.0,5.0,36000000000.0,91690000000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,,36.000.000.000,91.690.000.000,123.0,,36000000000.0,91690000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,10.651.380.488,16.451.331.459,130.0,,10651380488.0,16451331459.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,10.182.818.182,13.999.218.182,131.0,6.0,10182818182.0,13999218182.0
2. Phải thu ngắn hạn khác,2. Phải thu ngắn hạn khác,2. Phải thu ngắn hạn khác,136,7,468.562.306,2.452.113.277,136.0,7.0,468562306.0,2452113277.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,8,238.739.009.973,97.756.974.200,140.0,8.0,238739009973.0,97756974200.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,240.491.542.076,110.597.545.856,141.0,,240491542076.0,110597545856.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(1.752.532.103),(12.840.571.656),149.0,,-1752532103.0,-12840571656.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,15.068.312.709,4.166.166.837,150.0,,15068312709.0,4166166837.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,,15.646.660,20.520.794,151.0,,15646660.0,20520794.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,15.052.666.049,4.145.646.043,152.0,,15052666049.0,4145646043.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,3.357.165.945.395,3.359.113.897.942,200.0,,3357165945395.0,3359113897942.0
I. Tài sản cố định,I. Tài sản cố định,I. Tài sản cố định,220,,7.662.515.334,9.600.227.619,220.0,,7662515334.0,9600227619.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,9,7.662.515.334,9.600.227.619,221.0,9.0,7662515334.0,9600227619.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,14.627.616.249,15.266.879.337,222.0,,14627616249.0,15266879337.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(6.965.100.915),(5.666.651.718),223.0,,-6965100915.0,-5666651718.0
II. Tài sản dở dang dài hạn,II. Tài sản dở dang dài hạn,II. Tài sản dở dang dài hạn,240,,2.128.409.091,2.128.409.091,240.0,,2128409091.0,2128409091.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,,2.128.409.091,2.128.409.091,242.0,,2128409091.0,2128409091.0
III. Đầu tư tài chính dài hạn,III. Đầu tư tài chính dài hạn,III. Đầu tư tài chính dài hạn,250,5,3.347.372.297.286,3.347.372.297.286,250.0,5.0,3347372297286.0,3347372297286.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,1.029.032.297.286,1.029.032.297.286,251.0,,1029032297286.0,1029032297286.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,,2.318.340.000.000,2.318.340.000.000,252.0,,2318340000000.0,2318340000000.0
IV. Tài sản dài hạn khác,IV. Tài sản dài hạn khác,IV. Tài sản dài hạn khác,260,,2.723.684,12.963.946,260.0,,2723684.0,12963946.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,,2.723.684,12.963.946,261.0,,2723684.0,12963946.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,3.693.758.500.770,3.602.569.965.877,270.0,,3693758500770.0,3602569965877.0
