row_label_raw,row_label_full,Công ty TNHH Prukasa Việt Nam,Số cuối nămVND > Công ty TNHH Prukasa Việt Nam,Số đầu nămVND > Công ty TNHH Prukasa Việt Nam,numeric__Số cuối nămVND > Công ty TNHH Prukasa Việt Nam,numeric__Số đầu nămVND > Công ty TNHH Prukasa Việt Nam
"Vay ngăn, dài hạn","Vay ngăn, dài hạn","Vay ngăn, dài hạn",159.475.000.000,243.475.000.000,159475000000.0,243475000000.0
Phải trả khác,Phải trả khác,Phải trả khác,-,4.668.153.972,,4668153972.0
