row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốcVND,Số cuối năm > Giá trị hợp lýVND,Số cuối năm > Dự phòngVND,Số đầu năm(Trình bày lại) > Giá gốcVND,Số đầu năm(Trình bày lại) > Giá trị hợp lýVND,Số đầu năm(Trình bày lại) > Dự phòngVND,numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Giá trị hợp lýVND,numeric__Số cuối năm > Dự phòngVND,numeric__Số đầu năm(Trình bày lại) > Giá gốcVND,numeric__Số đầu năm(Trình bày lại) > Giá trị hợp lýVND,numeric__Số đầu năm(Trình bày lại) > Dự phòngVND
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,1.029.032.297.286,,-,1.029.032.297.286,,-,1029032297286.0,,,1029032297286.0,,
Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,565.339.701.680,(*),-,565.339.701.680,(*),-,565339701680.0,,,565339701680.0,,
Công ty Cổ phần Phát triển Dịch vụ Hoàng Giang,Công ty Cổ phần Phát triển Dịch vụ Hoàng Giang,Công ty Cổ phần Phát triển Dịch vụ Hoàng Giang,463.692.595.606,(*),-,463.692.595.606,(*),-,463692595606.0,,,463692595606.0,,
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",2.318.340.000.000,,-,2.318.340.000.000,-,-,2318340000000.0,,,2318340000000.0,,
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,,,,,,,
Công ty CP Tập đoàn Bất động sản CRV,Đầu tư vào công ty liên kết > Công ty CP Tập đoàn Bất động sản CRV,Công ty CP Tập đoàn Bất động sản CRV,2.318.340.000.000,(*),-,2.318.340.000.000,(*),-,2318340000000.0,,,2318340000000.0,,
Cộng,Đầu tư vào công ty liên kết > Cộng,Cộng,3.347.372.297.286,,-,3.347.372.297.286,,-,3347372297286.0,,,3347372297286.0,,
Ghi chú:,Ghi chú:,Ghi chú:,Ghi chú:,Ghi chú:,Ghi chú:,Ghi chú:,Ghi chú:,Ghi chú:,,,,,,
"(*) Theo quy định tại Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014, giá trị hợp lý của các khoản đầu tư vào Công ty con, Công ty liên kết cần được trình bày, tuy nhiên, Công ty chưa xác định giá trị hợp lý của các khoản đầu tư này để thuyết minh trong báo cáo tài chính riêng bởi vi không có giá niêm yết trên thị trường của các khoản đầu tư này và các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam và các quy định hiện hành có liên quan chưa hướng dẫn về cách tính giá trị hợp lý nên trình bày theo giá trị sở sách. Giá trị hợp lý của các khoản đầu tư này nếu xác định được có thể khác với giá trị ghi sở.","(*) Theo quy định tại Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014, giá trị hợp lý của các khoản đầu tư vào Công ty con, Công ty liên kết cần được trình bày, tuy nhiên, Công ty chưa xác định giá trị hợp lý của các khoản đầu tư này để thuyết minh trong báo cáo tài chính riêng bởi vi không có giá niêm yết trên thị trường của các khoản đầu tư này và các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam và các quy định hiện hành có liên quan chưa hướng dẫn về cách tính giá trị hợp lý nên trình bày theo giá trị sở sách. Giá trị hợp lý của các khoản đầu tư này nếu xác định được có thể khác với giá trị ghi sở.","(*) Theo quy định tại Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014, giá trị hợp lý của các khoản đầu tư vào Công ty con, Công ty liên kết cần được trình bày, tuy nhiên, Công ty chưa xác định giá trị hợp lý của các khoản đầu tư này để thuyết minh trong báo cáo tài chính riêng bởi vi không có giá niêm yết trên thị trường của các khoản đầu tư này và các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam và các quy định hiện hành có liên quan chưa hướng dẫn về cách tính giá trị hợp lý nên trình bày theo giá trị sở sách. Giá trị hợp lý của các khoản đầu tư này nếu xác định được có thể khác với giá trị ghi sở.","(*) Theo quy định tại Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014, giá trị hợp lý của các khoản đầu tư vào Công ty con, Công ty liên kết cần được trình bày, tuy nhiên, Công ty chưa xác định giá trị hợp lý của các khoản đầu tư này để thuyết minh trong báo cáo tài chính riêng bởi vi không có giá niêm yết trên thị trường của các khoản đầu tư này và các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam và các quy định hiện hành có liên quan chưa hướng dẫn về cách tính giá trị hợp lý nên trình bày theo giá trị sở sách. Giá trị hợp lý của các khoản đầu tư này nếu xác định được có thể khác với giá trị ghi sở.","(*) Theo quy định tại Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014, giá trị hợp lý của các khoản đầu tư vào Công ty con, Công ty liên kết cần được trình bày, tuy nhiên, Công ty chưa xác định giá trị hợp lý của các khoản đầu tư này để thuyết minh trong báo cáo tài chính riêng bởi vi không có giá niêm yết trên thị trường của các khoản đầu tư này và các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam và các quy định hiện hành có liên quan chưa hướng dẫn về cách tính giá trị hợp lý nên trình bày theo giá trị sở sách. Giá trị hợp lý của các khoản đầu tư này nếu xác định được có thể khác với giá trị ghi sở.","(*) Theo quy định tại Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014, giá trị hợp lý của các khoản đầu tư vào Công ty con, Công ty liên kết cần được trình bày, tuy nhiên, Công ty chưa xác định giá trị hợp lý của các khoản đầu tư này để thuyết minh trong báo cáo tài chính riêng bởi vi không có giá niêm yết trên thị trường của các khoản đầu tư này và các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam và các quy định hiện hành có liên quan chưa hướng dẫn về cách tính giá trị hợp lý nên trình bày theo giá trị sở sách. Giá trị hợp lý của các khoản đầu tư này nếu xác định được có thể khác với giá trị ghi sở.","(*) Theo quy định tại Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014, giá trị hợp lý của các khoản đầu tư vào Công ty con, Công ty liên kết cần được trình bày, tuy nhiên, Công ty chưa xác định giá trị hợp lý của các khoản đầu tư này để thuyết minh trong báo cáo tài chính riêng bởi vi không có giá niêm yết trên thị trường của các khoản đầu tư này và các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam và các quy định hiện hành có liên quan chưa hướng dẫn về cách tính giá trị hợp lý nên trình bày theo giá trị sở sách. Giá trị hợp lý của các khoản đầu tư này nếu xác định được có thể khác với giá trị ghi sở.","(*) Theo quy định tại Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014, giá trị hợp lý của các khoản đầu tư vào Công ty con, Công ty liên kết cần được trình bày, tuy nhiên, Công ty chưa xác định giá trị hợp lý của các khoản đầu tư này để thuyết minh trong báo cáo tài chính riêng bởi vi không có giá niêm yết trên thị trường của các khoản đầu tư này và các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam và các quy định hiện hành có liên quan chưa hướng dẫn về cách tính giá trị hợp lý nên trình bày theo giá trị sở sách. Giá trị hợp lý của các khoản đầu tư này nếu xác định được có thể khác với giá trị ghi sở.","(*) Theo quy định tại Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014, giá trị hợp lý của các khoản đầu tư vào Công ty con, Công ty liên kết cần được trình bày, tuy nhiên, Công ty chưa xác định giá trị hợp lý của các khoản đầu tư này để thuyết minh trong báo cáo tài chính riêng bởi vi không có giá niêm yết trên thị trường của các khoản đầu tư này và các Chuẩn mực Kế toán Việt Nam, Chế độ Kế toán doanh nghiệp Việt Nam và các quy định hiện hành có liên quan chưa hướng dẫn về cách tính giá trị hợp lý nên trình bày theo giá trị sở sách. Giá trị hợp lý của các khoản đầu tư này nếu xác định được có thể khác với giá trị ghi sở.",,,,,,
Thông tin chỉ tiết về Công ty con:,Thông tin chỉ tiết về Công ty con:,Thông tin chỉ tiết về Công ty con:,Thông tin chỉ tiết về Công ty con:,Thông tin chỉ tiết về Công ty con:,Thông tin chỉ tiết về Công ty con:,Thông tin chỉ tiết về Công ty con:,Thông tin chỉ tiết về Công ty con:,Thông tin chỉ tiết về Công ty con:,,,,,,
