row_label_raw,row_label_full,col_0,col_1,Năm nay,Năm trước(Trình bày lại),numeric__col_1,numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,,VND,VND,,,
Thu nhập của các Thành viên HĐQT,Thu nhập của các Thành viên HĐQT,Thu nhập của các Thành viên HĐQT,Chức vụ,,,,,
Đỗ Hữu Hạ,Thu nhập của các Thành viên HĐQT > Đỗ Hữu Hạ,Đỗ Hữu Hạ,Chủ tịch HĐQT,36.000.000,36.000.000,,36000000.0,36000000.0
Đỗ Hữu Hậu,Thu nhập của các Thành viên HĐQT > Đỗ Hữu Hậu,Đỗ Hữu Hậu,Thành viên HĐQT,24.000.000,24.000.000,,24000000.0,24000000.0
Nguyễn Thị Hà,Thu nhập của các Thành viên HĐQT > Nguyễn Thị Hà,Nguyễn Thị Hà,Thành viên HĐQT,24.000.000,24.000.000,,24000000.0,24000000.0
Nguyễn Thị Thu Trang,Thu nhập của các Thành viên HĐQT > Nguyễn Thị Thu Trang,Nguyễn Thị Thu Trang,Thành viên HĐQT,24.000.000,24.000.000,,24000000.0,24000000.0
Trần Mạnh Luân,Thu nhập của các Thành viên HĐQT > Trần Mạnh Luân,Trần Mạnh Luân,Thành viên HĐQT,24.000.000,24.000.000,,24000000.0,24000000.0
Thu nhập của Ban Kiểm soát,Thu nhập của Ban Kiểm soát,Thu nhập của Ban Kiểm soát,Thu nhập của Ban Kiểm soát,Thu nhập của Ban Kiểm soát,Thu nhập của Ban Kiểm soát,,,
Phùng Thị Thu Hương,Thu nhập của Ban Kiểm soát > Phùng Thị Thu Hương,Phùng Thị Thu Hương,Trường Ban Kiểm soát,24.000.000,24.000.000,,24000000.0,24000000.0
Nguyễn Trọng Cường,Thu nhập của Ban Kiểm soát > Nguyễn Trọng Cường,Nguyễn Trọng Cường,Thành viên Ban Kiểm soát,12.000.000,12.000.000,,12000000.0,12000000.0
Bùi Thị Trà,Thu nhập của Ban Kiểm soát > Bùi Thị Trà,Bùi Thị Trà,Thành viên Ban Kiểm soát,12.000.000,12.000.000,,12000000.0,12000000.0
Thu nhập của Ban Điều hành,Thu nhập của Ban Điều hành,Thu nhập của Ban Điều hành,Thu nhập của Ban Điều hành,Thu nhập của Ban Điều hành,Thu nhập của Ban Điều hành,,,
Nguyễn Thế Hùng,Thu nhập của Ban Điều hành > Nguyễn Thế Hùng,Nguyễn Thế Hùng,Giám đốc,219.085.000,201.135.000,,219085000.0,201135000.0
