row_label_raw,row_label_full,col_0,Dưới 1 năm,Từ 1 - 5 năm,Tổng,numeric__Dưới 1 năm,numeric__Từ 1 - 5 năm,numeric__Tổng
,,,VND,VND,VND,,,
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Tiền và các khoản tương đương tiền,Số cuối năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,36.133.852.205,-,36.133.852.205,36133852205.0,,36133852205.0
Phải thu khách hàng và phải thu khác,Số cuối năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,10.651.380.488,-,10.651.380.488,10651380488.0,,10651380488.0
Đầu tư tài chính ngắn hạn,Số cuối năm > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,36.000.000.000,-,36.000.000.000,36000000000.0,,36000000000.0
Đầu tư tài chính dài hạn,Số cuối năm > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,3.347.372.297.286,3.347.372.297.286,,3347372297286.0,3347372297286.0
Cộng,Số cuối năm > Cộng,Cộng,82.785.232.693,3.347.372.297.286,3.430.157.529.979,82785232693.0,3347372297286.0,3430157529979.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Các khoản vay,Số cuối năm > Các khoản vay,Các khoản vay,109.244.927.200,159.475.000.000,268.719.927.200,109244927200.0,159475000000.0,268719927200.0
Phải trả người bán và phải trả khác,Số cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,108.456.693.951,-,108.456.693.951,108456693951.0,,108456693951.0
Chi phí phải trả,Số cuối năm > Chi phí phải trả,Chi phí phải trả,1.473.545.455,-,1.473.545.455,1473545455.0,,1473545455.0
Cộng,Số cuối năm > Cộng,Cộng,219.175.166.606,159.475.000.000,378.650.166.606,219175166606.0,159475000000.0,378650166606.0
Chênh lệch thanh khoản thuần,Số cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(136.389.933.913),3.187.897.297.286,3.051.507.363.373,-136389933913.0,3187897297286.0,3051507363373.0
,,,Dưới 1 năm,Từ 1 - 5 năm,Tổng,,,
,,,VND,VND,VND,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Tiền và các khoản tương đương tiền,Số đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,33.391.595.439,-,33.391.595.439,33391595439.0,,33391595439.0
Phải thu khách hàng và phải thu khác,Số đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,16.451.331.459,-,16.451.331.459,16451331459.0,,16451331459.0
Đầu tư tài chính ngắn hạn,Số đầu năm > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,91.690.000.000,-,91.690.000.000,91690000000.0,,91690000000.0
Đầu tư tài chính dài hạn,Số đầu năm > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,3.347.372.297.286,3.347.372.297.286,,3347372297286.0,3347372297286.0
Cộng,Số đầu năm > Cộng,Cộng,141.532.926.898,3.347.372.297.286,3.488.905.224.184,141532926898.0,3347372297286.0,3488905224184.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Các khoản vay,Số đầu năm > Các khoản vay,Các khoản vay,243.475.000.000,-,243.475.000.000,243475000000.0,,243475000000.0
Phải trả người bán và phải trả khác,Số đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,74.955.834.542,-,74.955.834.542,74955834542.0,,74955834542.0
Chi phí phải trả,Số đầu năm > Chi phí phải trả,Chi phí phải trả,1.251.545.455,-,1.251.545.455,1251545455.0,,1251545455.0
Cộng,Số đầu năm > Cộng,Cộng,319.682.379.997,-,319.682.379.997,319682379997.0,,319682379997.0
Chênh lệch thanh khoản thuần,Số đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(178.149.453.099),3.347.372.297.286,3.169.222.844.187,-178149453099.0,3347372297286.0,3169222844187.0
