row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,VND,VND,,
Các khoản chi phí bán hàng phát sinh,Các khoản chi phí bán hàng phát sinh,Các khoản chi phí bán hàng phát sinh,5.621.285.376,4.100.214.204,5621285376.0,4100214204.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,1.198.676.150,759.432.071,1198676150.0,759432071.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,54.076.253,128.864.436,54076253.0,128864436.0
Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,4.368.532.973,3.211.917.697,4368532973.0,3211917697.0
Các khoản chi phí quản lý doanh nghiệp phát sinh,Các khoản chi phí quản lý doanh nghiệp phát sinh,Các khoản chi phí quản lý doanh nghiệp phát sinh,4.660.562.086,3.279.462.046,4660562086.0,3279462046.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,1.883.636.032,1.381.234.715,1883636032.0,1381234715.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,1.496.725.650,1.028.423.675,1496725650.0,1028423675.0
Chi phí khác,Chi phí khác,Chi phí khác,1.280.200.404,869.803.656,1280200404.0,869803656.0
Các khoản ghi giảm chi phí BH và chi phí QLDN,Các khoản ghi giảm chi phí BH và chi phí QLDN,Các khoản ghi giảm chi phí BH và chi phí QLDN,-,77.207.727,,77207727.0
"Hoàn nhập dự phòng bảo hành sản phẩm, hàng hóa","Hoàn nhập dự phòng bảo hành sản phẩm, hàng hóa","Hoàn nhập dự phòng bảo hành sản phẩm, hàng hóa",-,77.207.727,,77207727.0
