row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước (trình bày lại),Số dư đầu năm trước (trình bày lại),Số dư đầu năm trước (trình bày lại),2.747.440.630.000,139.270.925.591,(134.681.958.146),19.572.915.034,259.528.032.264,3.031.130.544.743,2747440630000.0,139270925591.0,-134681958146.0,19572915034.0,259528032264.0,3031130544743.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,213.824.197.327,213.824.197.327,,,,,213824197327.0,213824197327.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,(109.897.625.200),(109.897.625.200),,,,,-109897625200.0,-109897625200.0
"Tăng, giảm trong năm","Tăng, giảm trong năm","Tăng, giảm trong năm",-,68.006.054,134.681.958.146,-,-,134.749.964.200,,68006054.0,134681958146.0,,,134749964200.0
Số dư đầu năm nay (trình bày lại),Số dư đầu năm nay (trình bày lại),Số dư đầu năm nay (trình bày lại),2.747.440.630.000,139.338.931.645,-,19.572.915.034,363.454.604.391,3.269.807.081.070,2747440630000.0,139338931645.0,,19572915034.0,363454604391.0,3269807081070.0
Tăng vốn trong năm (i),Tăng vốn trong năm (i),Tăng vốn trong năm (i),137.362.580.000,(137.362.580.000),-,-,-,-,137362580000.0,-137362580000.0,,,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,32.679.899.410,32.679.899.410,,,,,32679899410.0,32679899410.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),329.678.320.000,-,-,-,(329.678.320.000),-,329678320000.0,,,,-329678320000.0,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.214.481.530.000,1.976.351.645,-,19.572.915.034,66.456.183.801,3.302.486.980.480,3214481530000.0,1976351645.0,,19572915034.0,66456183801.0,3302486980480.0
