row_label_raw,row_label_full,col_0,Nhà cửa VND,Nâng cấp tài sản thuê VND,Thiết bị văn phòng VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Tổng VND,numeric__Nhà cửa VND,numeric__Nâng cấp tài sản thuê VND,numeric__Thiết bị văn phòng VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.511.680.743,55.688.424.678,21.374.775.898,3.678.969.980,16.296.280.922,98.550.132.221,1511680743.0,55688424678.0,21374775898.0,3678969980.0,16296280922.0,98550132221.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,36.500.000,112.690.000,75.821.200,225.011.200,,,36500000.0,112690000.0,75821200.0,225011200.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(219.122.727),-,(1.192.621.810),(1.411.744.537),,,-219122727.0,,-1192621810.0,-1411744537.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.511.680.743,55.688.424.678,21.192.153.171,3.791.659.980,15.179.480.312,97.363.398.884,1511680743.0,55688424678.0,21192153171.0,3791659980.0,15179480312.0,97363398884.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.511.680.743,12.381.560.233,9.552.770.735,2.607.259.863,13.238.925.471,39.292.197.045,1511680743.0,12381560233.0,9552770735.0,2607259863.0,13238925471.0,39292197045.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,10.451.709.067,1.958.675.329,479.782.922,1.146.959.492,14.037.126.810,,10451709067.0,1958675329.0,479782922.0,1146959492.0,14037126810.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(219.122.727),-,(1.192.621.810),(1.411.744.537),,,-219122727.0,,-1192621810.0,-1411744537.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.511.680.743,22.833.269.300,11.292.323.337,3.087.042.785,13.193.263.153,51.917.579.318,1511680743.0,22833269300.0,11292323337.0,3087042785.0,13193263153.0,51917579318.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,43.306.864.445,11.822.005.163,1.071.710.117,3.057.355.451,59.257.935.176,,43306864445.0,11822005163.0,1071710117.0,3057355451.0,59257935176.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,32.855.155.378,9.899.829.834,704.617.195,1.986.217.159,45.445.819.566,,32855155378.0,9899829834.0,704617195.0,1986217159.0,45445819566.0
