row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2017 VND,1/1/2017 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2017 VND,numeric__1/1/2017 VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),TÀI SẢN > Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),100,,3.339.470.305.579,10.349.274.001.384,100.0,,3339470305579.0,10349274001384.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,4,677.000.209.110,4.696.551.755.028,110.0,4.0,677000209110.0,4696551755028.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,9.100.209.110,20.951.755.028,111.0,,9100209110.0,20951755028.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,667.900.000.000,4.675.600.000.000,112.0,,667900000000.0,4675600000000.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,4.175.720.000,1.279.948.841.175,120.0,,4175720000.0,1279948841175.0
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,123,5(a),4.175.720.000,1.279.948.841.175,123.0,,4175720000.0,1279948841175.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,2.499.118.637.158,4.283.852.563.033,130.0,,2499118637158.0,4283852563033.0
Phải thu của khách hàng,TÀI SẢN > Phải thu của khách hàng,Phải thu của khách hàng,131,6,399.624.323.346,333.636.196.490,131.0,6.0,399624323346.0,333636196490.0
Trả trước cho người bán,TÀI SẢN > Trả trước cho người bán,Trả trước cho người bán,132,,49.900.293.622,6.589.975.715,132.0,,49900293622.0,6589975715.0
Phải thu về cho vay ngắn hạn,TÀI SẢN > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,7,-,1.663.716.876.592,135.0,7.0,,1663716876592.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,8(a),2.049.594.020.190,2.279.909.514.236,136.0,,2049594020190.0,2279909514236.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,9,152.755.900.467,79.445.760.231,140.0,9.0,152755900467.0,79445760231.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,152.868.576.847,79.725.053.827,141.0,,152868576847.0,79725053827.0
Dự phòng giảm giá hàng tồn kho,TÀI SẢN > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(112.676.380),(279.293.596),149.0,,-112676380.0,-279293596.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,6.419.838.844,9.475.081.917,150.0,,6419838844.0,9475081917.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,6.419.838.844,9.475.081.917,151.0,,6419838844.0,9475081917.0
