row_label_raw,row_label_full,col_0,Phần mềm máy vi tính VND,Thương hiệu VND,Tổng VND,numeric__Phần mềm máy vi tính VND,numeric__Thương hiệu VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,274.426.689.524,636.363.636,275.063.053.160,274426689524.0,636363636.0,275063053160.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.069.892.667,-,1.069.892.667,1069892667.0,,1069892667.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,95.592.000,-,95.592.000,95592000.0,,95592000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,275.592.174.191,636.363.636,276.228.537.827,275592174191.0,636363636.0,276228537827.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,56.678.537.310,636.363.636,57.314.900.946,56678537310.0,636363636.0,57314900946.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,33.559.407.542,-,33.559.407.542,33559407542.0,,33559407542.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,90.237.944.852,636.363.636,90.874.308.488,90237944852.0,636363636.0,90874308488.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,217.748.152.214,-,217.748.152.214,217748152214.0,,217748152214.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,185.354.229.339,-,185.354.229.339,185354229339.0,,185354229339.0
