row_label_raw,row_label_full,col_0,Công cụ và dụng cụ VND,numeric__Công cụ và dụng cụ VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,12.445.534.013,12445534013.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,1.094.535.967,1094535967.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,4.317.318.077,4317318077.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(8.805.993.324),-8805993324.0
Thanh lý,Thanh lý,Thanh lý,(15.750.000),-15750000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,9.035.644.733,9035644733.0
