row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị","Phương tiệnvận tải, truyền dẫn",Thiết bị văn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiệnvận tải, truyền dẫn",numeric__Thiết bị văn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,4.924.953.448.228,5.578.782.100.816,527.900.000.358,42.465.790.649,11.074.101.340.051,4924953448228.0,5578782100816.0,527900000358.0,42465790649.0,11074101340051.0
- Mua mới trong năm,Nguyên giá: > - Mua mới trong năm,- Mua mới trong năm,-,-,707.825.455,452.473.456,1.160.298.911,,,707825455.0,452473456.0,1160298911.0
- Tăng khác,Nguyên giá: > - Tăng khác,- Tăng khác,-,402.500.000,739.887.477,-,1.142.387.477,,402500000.0,739887477.0,,1142387477.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,4.924.953.448.228,5.579.184.600.816,529.347.713.290,42.918.264.105,11.076.404.026.439,4924953448228.0,5579184600816.0,529347713290.0,42918264105.0,11076404026439.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,11.785.081.706,29.281.567.985,11.824.615.321,10.993.256.345,63.884.521.357,11785081706.0,29281567985.0,11824615321.0,10993256345.0,63884521357.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,879.694.479.711,1.213.263.463.940,117.966.357.218,30.386.125.520,2.241.310.426.389,879694479711.0,1213263463940.0,117966357218.0,30386125520.0,2241310426389.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,175.641.583.257,280.855.850.338,21.709.895.056,1.574.110.214,479.781.438.865,175641583257.0,280855850338.0,21709895056.0,1574110214.0,479781438865.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,1.055.336.062.968,1.494.119.314.278,139.676.252.274,31.960.235.734,2.721.091.865.254,1055336062968.0,1494119314278.0,139676252274.0,31960235734.0,2721091865254.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,4.045.258.968.517,4.365.518.636.876,409.933.643.140,12.079.665.129,8.832.790.913.662,4045258968517.0,4365518636876.0,409933643140.0,12079665129.0,8832790913662.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,3.869.617.385.260,4.085.065.286.538,389.671.461.016,10.958.028.371,8.355.312.161.185,3869617385260.0,4085065286538.0,389671461016.0,10958028371.0,8355312161185.0
"Tại ngày 31 tháng 12 năm 2024, một số tài sản cố định hữu hình được thế chấp tại Ngân hàng TMCP Công Thương Việt Nam – Chi nhánh Tây Hà Nộiđể làm tài sản đảm bảo cho thư bảo lãnh tín dụng của Công ty Za Hưng (thuyết minh số 21)","Tại ngày 31 tháng 12 năm 2024, một số tài sản cố định hữu hình được thế chấp tại Ngân hàng TMCP Công Thương Việt Nam – Chi nhánh Tây Hà Nộiđể làm tài sản đảm bảo cho thư bảo lãnh tín dụng của Công ty Za Hưng (thuyết minh số 21)","Tại ngày 31 tháng 12 năm 2024, một số tài sản cố định hữu hình được thế chấp tại Ngân hàng TMCP Công Thương Việt Nam – Chi nhánh Tây Hà Nộiđể làm tài sản đảm bảo cho thư bảo lãnh tín dụng của Công ty Za Hưng (thuyết minh số 21)","Tại ngày 31 tháng 12 năm 2024, một số tài sản cố định hữu hình được thế chấp tại Ngân hàng TMCP Công Thương Việt Nam – Chi nhánh Tây Hà Nộiđể làm tài sản đảm bảo cho thư bảo lãnh tín dụng của Công ty Za Hưng (thuyết minh số 21)","Tại ngày 31 tháng 12 năm 2024, một số tài sản cố định hữu hình được thế chấp tại Ngân hàng TMCP Công Thương Việt Nam – Chi nhánh Tây Hà Nộiđể làm tài sản đảm bảo cho thư bảo lãnh tín dụng của Công ty Za Hưng (thuyết minh số 21)","Tại ngày 31 tháng 12 năm 2024, một số tài sản cố định hữu hình được thế chấp tại Ngân hàng TMCP Công Thương Việt Nam – Chi nhánh Tây Hà Nộiđể làm tài sản đảm bảo cho thư bảo lãnh tín dụng của Công ty Za Hưng (thuyết minh số 21)","Tại ngày 31 tháng 12 năm 2024, một số tài sản cố định hữu hình được thế chấp tại Ngân hàng TMCP Công Thương Việt Nam – Chi nhánh Tây Hà Nộiđể làm tài sản đảm bảo cho thư bảo lãnh tín dụng của Công ty Za Hưng (thuyết minh số 21)","Tại ngày 31 tháng 12 năm 2024, một số tài sản cố định hữu hình được thế chấp tại Ngân hàng TMCP Công Thương Việt Nam – Chi nhánh Tây Hà Nộiđể làm tài sản đảm bảo cho thư bảo lãnh tín dụng của Công ty Za Hưng (thuyết minh số 21)",,,,,
