row_label_raw,row_label_full,Bên liên quan > Người mua trả tiền trước ngắn hạn (mã số 312) > Ông Nguyễn Văn Tô,Mối quan hệ > Người mua trả tiền trước ngắn hạn (mã số 312) > Thành viên HĐQT đến ngày 27 tháng 4 năm 2024,Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (mã số 312) > Trả trước tiền mua bất động sản,Số cuối năm > Người mua trả tiền trước ngắn hạn (mã số 312) > -,Số đầu năm > Người mua trả tiền trước ngắn hạn (mã số 312) > 7.437.234.878,numeric__Mối quan hệ > Người mua trả tiền trước ngắn hạn (mã số 312) > Thành viên HĐQT đến ngày 27 tháng 4 năm 2024,numeric__Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (mã số 312) > Trả trước tiền mua bất động sản,numeric__Số cuối năm > Người mua trả tiền trước ngắn hạn (mã số 312) > -,numeric__Số đầu năm > Người mua trả tiền trước ngắn hạn (mã số 312) > 7.437.234.878
Ông Hoàng Đình Hùng,Ông Hoàng Đình Hùng,Ông Hoàng Đình Hùng,Thành viên độc lập HĐQT kiểm Ủy viên ban Kiểm toán,Trả trước tiền mua bất động sản,-,5.241.988.223,,,,5241988223.0
Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Phó Tổng Giám đốc,Trả trước tiền mua bất động sản,-,7.482.385.319,,,,7482385319.0
Ông Lê Xuân Long,Ông Lê Xuân Long,Ông Lê Xuân Long,Phó Tổng Giám đốc,Trả trước tiền mua bất động sản,-,4.825.691.993,,,,4825691993.0
Bà Nguyễn Thị Xuân Lan,Bà Nguyễn Thị Xuân Lan,Bà Nguyễn Thị Xuân Lan,Người có mối quan hệ gia đình mật thiết với thành viên HĐQT,Trả trước tiền mua bất động sản,-,98.563.132.275,,,,98563132275.0
Ông Phạm Hồng Hiếu,Ông Phạm Hồng Hiếu,Ông Phạm Hồng Hiếu,Kế toán trưởng,Trả trước tiền mua bất động sản,-,5.552.346.374,,,,5552346374.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,Trả trước tiền mua bất động sản,-,-,,,,
TỔNG CỘNG,Các bên liên quan khác > TỔNG CỘNG,TỔNG CỘNG,,,-,129.102.779.062,,,,129102779062.0
Phải trả ngắn hạn khác (Thuyết minh số 20),Phải trả ngắn hạn khác (Thuyết minh số 20),Phải trả ngắn hạn khác (Thuyết minh số 20),Phải trả ngắn hạn khác (Thuyết minh số 20),Phải trả ngắn hạn khác (Thuyết minh số 20),Phải trả ngắn hạn khác (Thuyết minh số 20),Phải trả ngắn hạn khác (Thuyết minh số 20),,,,
Công ty Cổ phần Đầu tư An Lạc,Phải trả ngắn hạn khác (Thuyết minh số 20) > Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Cổ tức phải trả Phải trả khác,8.829.705.571148.244.000,8.829.705.5713.365.744.000,,,8.829705571148244e+18,8.829705571336574e+19
Các bên liên quan khác,Phải trả ngắn hạn khác (Thuyết minh số 20) > Các bên liên quan khác,Các bên liên quan khác,,Phải trả khác,262.136.974,239.087.100,,,262136974.0,239087100.0
TỔNG CỘNG,Phải trả ngắn hạn khác (Thuyết minh số 20) > TỔNG CỘNG,TỔNG CỘNG,,,9.240.086.545,12.434.536.671,,,9240086545.0,12434536671.0
Vay dài hạn (Thuyết minh số 21),Vay dài hạn (Thuyết minh số 21),Vay dài hạn (Thuyết minh số 21),Vay dài hạn (Thuyết minh số 21),Vay dài hạn (Thuyết minh số 21),Vay dài hạn (Thuyết minh số 21),Vay dài hạn (Thuyết minh số 21),,,,
Bà Bùi Thị Bé,Vay dài hạn (Thuyết minh số 21) > Bà Bùi Thị Bé,Bà Bùi Thị Bé,Người có mối quan hệ gia đình mật thiết với thành viên BGĐ,Vay dài hạn (i),-,3.464.023.000,,,,3464023000.0
TỔNG CỘNG,Vay dài hạn (Thuyết minh số 21) > TỔNG CỘNG,TỔNG CỘNG,,,3.710.000.000,3.464.023.000,,,3710000000.0,3464023000.0
