row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi sổ,Đơn vị tính: VND > Số đầu năm > Giá gốc,Đơn vị tính: VND > Số đầu năm > Giá trị ghi sổ,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Đơn vị tính: VND > Số đầu năm > Giá gốc,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị ghi sổ
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,,,
Tiền gửi có kỳ hạn (i),Ngắn hạn > Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),8.000.000.000,8.000.000.000,6.100.000.000,6.100.000.000,8000000000.0,8000000000.0,6100000000.0,6100000000.0
Đầu tư trái phiếu (ii),Ngắn hạn > Đầu tư trái phiếu (ii),Đầu tư trái phiếu (ii),209.413.358.794,209.413.358.794,-,-,209413358794.0,209413358794.0,,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,217.413.358.794,217.413.358.794,6.100.000.000,6.100.000.000,217413358794.0,217413358794.0,6100000000.0,6100000000.0
Dải hạn,Dải hạn,Dải hạn,,,,,,,,
Đầu tư trái phiếu (iii),Dải hạn > Đầu tư trái phiếu (iii),Đầu tư trái phiếu (iii),58.593.881.200,58.593.881.200,62.920.000.000,62.920.000.000,58593881200.0,58593881200.0,62920000000.0,62920000000.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,58.593.881.200,58.593.881.200,62.920.000.000,62.920.000.000,58593881200.0,58593881200.0,62920000000.0,62920000000.0
