row_label_raw,row_label_full,col_0,Công ty Agrita – Quảng Nam,Công ty Sông Tranh 4,Đơn vị tính: VNDTổng cộng,numeric__Công ty Agrita – Quảng Nam,numeric__Công ty Sông Tranh 4,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,60.801.303.907,11.803.260.642,72.604.564.549,60801303907.0,11803260642.0,72604564549.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,60.801.303.907,11.803.260.642,72.604.564.549,60801303907.0,11803260642.0,72604564549.0
Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,,,
Số đầu năm,Phân bổ lũy kế: > Số đầu năm,Số đầu năm,29.917.573.100,8.508.048.972,38.425.622.072,29917573100.0,8508048972.0,38425622072.0
- Phân bổ trong năm,Phân bổ lũy kế: > - Phân bổ trong năm,- Phân bổ trong năm,6.080.130.392,1.180.326.064,7.260.456.456,6080130392.0,1180326064.0,7260456456.0
Số cuối năm,Phân bổ lũy kế: > Số cuối năm,Số cuối năm,35.997.703.492,9.688.375.036,45.686.078.528,35997703492.0,9688375036.0,45686078528.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,30.883.730.807,3.295.211.670,34.178.942.477,30883730807.0,3295211670.0,34178942477.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,24.803.600.415,2.114.885.606,26.918.486.021,24803600415.0,2114885606.0,26918486021.0
