row_label_raw,row_label_full,col_0,Quyền đầu tư dự án thủy điện (*),Phần mềm máy tính,Đơn vị tính: VND Tổng cộng,numeric__Quyền đầu tư dự án thủy điện (*),numeric__Phần mềm máy tính,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,220.000.000.000,3.393.654.500,223.393.654.500,220000000000.0,3393654500.0,223393654500.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,-,288.600.000,288.600.000,,288600000.0,288600000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,220.000.000.000,3.682.254.500,223.682.254.500,220000000000.0,3682254500.0,223682254500.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,,
Đã khấu hao hết:,Trong đó > Đã khấu hao hết:,Đã khấu hao hết:,-,2.059.854.500,2.059.854.500,,2059854500.0,2059854500.0
Giá trị khấu lũy kế:,Giá trị khấu lũy kế:,Giá trị khấu lũy kế:,Giá trị khấu lũy kế:,Giá trị khấu lũy kế:,Giá trị khấu lũy kế:,,,
Số đầu năm,Giá trị khấu lũy kế: > Số đầu năm,Số đầu năm,19.606.135.300,2.157.350.625,21.763.485.925,19606135300.0,2157350625.0,21763485925.0
- Hao mòn trong năm,Giá trị khấu lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,8.772.177.910,381.863.312,9.154.041.222,8772177910.0,381863312.0,9154041222.0
Số cuối năm,Giá trị khấu lũy kế: > Số cuối năm,Số cuối năm,28.378.313.210,2.539.213.937,30.917.527.147,28378313210.0,2539213937.0,30917527147.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,200.393.864.700,1.236.303.875,201.630.168.575,200393864700.0,1236303875.0,201630168575.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,191.621.686.790,1.143.040.563,192.764.727.353,191621686790.0,1143040563.0,192764727353.0
