row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số đầu năm_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Bắt động sản xây dựng đề bán,Bắt động sản xây dựng đề bán,Bắt động sản xây dựng đề bán,837.453.573.494,10.224.200.764,1.048.627.298.359,10.224.200.764,837453573494.0,10224200764.0,1048627298359.0,10224200764.0
- Dự án An Khánh - An Thượng,- Dự án An Khánh - An Thượng,- Dự án An Khánh - An Thượng,303.921.715.189,10.224.200.764,462.891.019.268,10.224.200.764,303921715189.0,10224200764.0,462891019268.0,10224200764.0
- Dự án Hà Đô Green Lane,- Dự án Hà Đô Green Lane,- Dự án Hà Đô Green Lane,292.765.778.115,-,292.765.778.115,-,292765778115.0,,292765778115.0,
"- Dự án khu đô thị mới Noongtha, Viên Chăn, Lào","- Dự án khu đô thị mới Noongtha, Viên Chăn, Lào","- Dự án khu đô thị mới Noongtha, Viên Chăn, Lào",116.016.319.208,-,125.135.158.159,-,116016319208.0,,125135158159.0,
- Các dự án khác,- Các dự án khác,- Các dự án khác,124.749.760.982,-,167.835.342.817,-,124749760982.0,,167835342817.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,10.683.126.958,-,20.714.575.697,-,10683126958.0,,20714575697.0,
Công cụ dụng cụ,Công cụ dụng cụ,Công cụ dụng cụ,17.978.017.851,-,14.155.668.438,-,17978017851.0,,14155668438.0,
Hàng tồn kho khác,Hàng tồn kho khác,Hàng tồn kho khác,1.041.504.948,-,1.110.952.750,-,1041504948.0,,1110952750.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,867.156.223.251,10.224.200.764,1.084.608.495.244,10.224.200.764,867156223251.0,10224200764.0,1084608495244.0,10224200764.0
