row_label_raw,row_label_full,Cổ tức đã công bố và đã trả trong năm,Năm nay > Cổ tức đã công bố và đã trả trong năm,Đơn vị tính: VND > Năm trước > Cổ tức đã công bố và đã trả trong năm,numeric__Năm nay > Cổ tức đã công bố và đã trả trong năm,numeric__Đơn vị tính: VND > Năm trước > Cổ tức đã công bố và đã trả trong năm
Cổ tức trên cổ phiếu phổ thông (i),Cổ tức trên cổ phiếu phổ thông (i),Cổ tức trên cổ phiếu phổ thông (i),458.625.300.500,611.509.430.000,458625300500.0,611509430000.0
Cổ tức trả bằng cổ phiếu năm 2024:30.574.688 cổ phiếu/305.756.841 cổ phiếuhiện hữu (năm 2023: 61.150.943 cổphiếu/244.605.898 cổ phiếu hiện hữu),Cổ tức trả bằng cổ phiếu năm 2024:30.574.688 cổ phiếu/305.756.841 cổ phiếuhiện hữu (năm 2023: 61.150.943 cổphiếu/244.605.898 cổ phiếu hiện hữu),Cổ tức trả bằng cổ phiếu năm 2024:30.574.688 cổ phiếu/305.756.841 cổ phiếuhiện hữu (năm 2023: 61.150.943 cổphiếu/244.605.898 cổ phiếu hiện hữu),305.746.880.000,611.509.430.000,305746880000.0,611509430000.0
Cổ tức trả bằng tiền cho năm 2024: 500VND/cổ phiếu,Cổ tức trả bằng tiền cho năm 2024: 500VND/cổ phiếu,Cổ tức trả bằng tiền cho năm 2024: 500VND/cổ phiếu,152.878.420.500,-,152878420500.0,
