row_label_raw,row_label_full,col_0,Don vị tính: VND,numeric__Don vị tính: VND
Năm nay,Năm nay,Năm nay,Năm trước,
57.726.502.073(2.349.894.428),57.726.502.073(2.349.894.428),57.726.502.073(2.349.894.428),58.833.582.073(1.107.080.000),
55.376.607.645,57.726.502.073(2.349.894.428) > 55.376.607.645,55.376.607.645,57.726.502.073,57726502073.0
