row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Nhận ký cược, ký quỹ","Ngắn hạn > Nhận ký cược, ký quỹ","Nhận ký cược, ký quỹ",33.106.857.764,32.303.581.760,33106857764.0,32303581760.0
Lệ phí trước bạ thu hộ,Ngắn hạn > Lệ phí trước bạ thu hộ,Lệ phí trước bạ thu hộ,33.043.031.971,9.955.708.737,33043031971.0,9955708737.0
Phải trả tiền hỗ trợ chuyển giao mặt bằng Dự án An Khánh - An Thượng (i),Ngắn hạn > Phải trả tiền hỗ trợ chuyển giao mặt bằng Dự án An Khánh - An Thượng (i),Phải trả tiền hỗ trợ chuyển giao mặt bằng Dự án An Khánh - An Thượng (i),20.630.454.546,20.630.454.546,20630454546.0,20630454546.0
Quỹ bảo trì căn hộ (ii),Ngắn hạn > Quỹ bảo trì căn hộ (ii),Quỹ bảo trì căn hộ (ii),16.877.556.495,177.208.847.637,16877556495.0,177208847637.0
Phí dịch vụ môi trường rừng,Ngắn hạn > Phí dịch vụ môi trường rừng,Phí dịch vụ môi trường rừng,16.029.881.964,15.730.993.928,16029881964.0,15730993928.0
Thu hộ phải trả,Ngắn hạn > Thu hộ phải trả,Thu hộ phải trả,12.686.352.098,12.686.352.098,12686352098.0,12686352098.0
Phải trả lợi nhuận chia sẻ theo BCC,Ngắn hạn > Phải trả lợi nhuận chia sẻ theo BCC,Phải trả lợi nhuận chia sẻ theo BCC,9.366.641.280,7.710.400.280,9366641280.0,7710400280.0
Phải trả cổ tức,Ngắn hạn > Phải trả cổ tức,Phải trả cổ tức,8.924.205.571,12.107.295.571,8924205571.0,12107295571.0
Nhận tiền cho mục đích chuyển nhượng bất động sản,Ngắn hạn > Nhận tiền cho mục đích chuyển nhượng bất động sản,Nhận tiền cho mục đích chuyển nhượng bất động sản,72.727.272,7.464.242.260,72727272.0,7464242260.0
Các khoản phải trả ngắn hạn khác,Ngắn hạn > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,19.534.990.389,21.925.160.491,19534990389.0,21925160491.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,170.272.699.350,317.723.037.308,170272699350.0,317723037308.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả khác ngắn hạn các bên khác,Trong đó: > Phải trả khác ngắn hạn các bên khác,Phải trả khác ngắn hạn các bên khác,161.032.612.805,305.288.500.637,161032612805.0,305288500637.0
Phải trả khác ngắn hạn các bên liên quan(Thuyết minh số 31.2),Trong đó: > Phải trả khác ngắn hạn các bên liên quan(Thuyết minh số 31.2),Phải trả khác ngắn hạn các bên liên quan(Thuyết minh số 31.2),9.240.086.545,12.434.536.671,9240086545.0,12434536671.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Nhận đặt cọc cho thuê,Dài hạn > Nhận đặt cọc cho thuê,Nhận đặt cọc cho thuê,15.425.150.058,11.757.751.386,15425150058.0,11757751386.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,15.425.150.058,11.757.751.386,15425150058.0,11757751386.0
