row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > Ông Chu Tuấn Anh,Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > Phó Tổng Giám đốc đến ngày 27 tháng 4 năm 2024,Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > Phải thu chuyển nhượng bất động sản,Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > -,Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > 468.623.000,numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > Phó Tổng Giám đốc đến ngày 27 tháng 4 năm 2024,numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > Phải thu chuyển nhượng bất động sản,numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > -,numeric__Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1) > 468.623.000
Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Người có mối quan hệ mật thiết với thành viên HĐQT,Phải thu chuyển nhượng BĐS,643.142.000,643.142.000,,,643142000.0,643142000.0
Bà Hoàng Thị Phương Điều,Bà Hoàng Thị Phương Điều,Bà Hoàng Thị Phương Điều,Người có mối quan hệ gia đình mật thiết với thành viên HĐQT,Phải thu chuyển nhượng BĐS,617.896.000,617.896.000,,,617896000.0,617896000.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,Phải thu chuyển nhượng BĐS,2.634.617.003,1.732.240.003,,,2634617003.0,1732240003.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,3.895.655.003,3.461.901.003,,,3895655003.0,3461901003.0
Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),,,,
Ông Nguyễn Trọng Minh,Phải thu ngắn hạn khác (Thuyết minh số 8) > Ông Nguyễn Trọng Minh,Ông Nguyễn Trọng Minh,Phó chủ tịch HĐQT/ Tổng Giám đốc,Tạm ứng,-,16.100.768.000,,,,16100768000.0
Bà Nguyễn Thị Xuân Lan,Phải thu ngắn hạn khác (Thuyết minh số 8) > Bà Nguyễn Thị Xuân Lan,Bà Nguyễn Thị Xuân Lan,Người có mối quan hệ gia đình mật thiết với thành viên HĐQT,Tạm ứng,-,8.487.000.000,,,,8487000000.0
Các bên liên quan khác,Phải thu ngắn hạn khác (Thuyết minh số 8) > Các bên liên quan khác,Các bên liên quan khác,,Tạm ứng,756.308.685,512.887.000,,,756308685.0,512887000.0
TỔNG CỘNG,Phải thu ngắn hạn khác (Thuyết minh số 8) > TỔNG CỘNG,TỔNG CỘNG,,,756.308.685,25.100.655.000,,,756308685.0,25100655000.0
Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),,,,
Công ty Cổ phần Đầu tư An Lạc,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Phải trả về phí dịch vụ thi công,2.019.545.459,2.019.545.459,,,2019545459.0,2019545459.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (Thuyết minh số 17) > TỔNG CỘNG,TỔNG CỘNG,,,2.019.545.459,2.019.545.459,,,2019545459.0,2019545459.0
