row_label_raw,row_label_full,Bàng cān đối kế toán hợp nhất,Bàng cān đối kế toán hợp nhất_1,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__Bàng cān đối kế toán hợp nhất_1,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
Bàng cān đối kế toán hợp nhất,Bàng cān đối kế toán hợp nhất,Bàng cān đối kế toán hợp nhất,Bàng cān đối kế toán hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,,,
Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,
46.983.393.7651.019.762.205,Số cuối năm > 46.983.393.7651.019.762.205,46.983.393.7651.019.762.205,49.328.336.4031.763.378.385,(2.344.942.638)(743.616.180),(1.033.652.067)(1.115.028.800),4.932833640317634e+20,,
-1.054.299.560,Số cuối năm > -1.054.299.560,-1.054.299.560,373.267.5531.823.090.681,(373.267.553)(768.791.121),(2.071.212.089)(437.205.021),3.7326755318230907e+18,,
99.230.401,Số cuối năm > 99.230.401,99.230.401,2.982.478.639,(2.883.248.238),(3.479.907.814),2982478639.0,-2883248238.0,-3479907814.0
(64.149.884.962),Số cuối năm > (64.149.884.962),(64.149.884.962),(67.858.352.281),3.708.467.319,1.965.788.869,-67858352281.0,3708467319.0,1965788869.0
(14.993.199.031),Số cuối năm > (14.993.199.031),(14.993.199.031),(11.587.800.620),,,-11587800620.0,,
,,,,(3.405.398.411),(6.171.216.922),,-3405398411.0,-6171216922.0
49.156.685.931(64.149.884.962),49.156.685.931(64.149.884.962),49.156.685.931(64.149.884.962),56.270.551.661(67.858.352.281),,,,,
(14.993.199.031),49.156.685.931(64.149.884.962) > (14.993.199.031),(14.993.199.031),(11.587.800.620),,,-11587800620.0,,
