row_label_raw,row_label_full,Tên > Ông Nguyễn Trọng Thông > Ông Nguyễn Văn Tô > Ông Nguyễn Trọng Minh,Chức vụ > Chủ tịch HĐQT đến ngày 3 tháng 10 năm 2024 > Chủ tịch HĐQT từ ngày 3 tháng 10 năm 2024 > Thành viên HĐQT đến ngày 27 tháng 4 năm 2024,Đơn vị tính: VNDThu nhập > Năm nay > 1.555.000.000 > 209.000.000 > 2.006.040.000,Đơn vị tính: VNDThu nhập > Năm trước > 2.150.000.000 > 730.000.000 > 2.223.240.000,numeric__Chức vụ > Chủ tịch HĐQT đến ngày 3 tháng 10 năm 2024 > Chủ tịch HĐQT từ ngày 3 tháng 10 năm 2024 > Thành viên HĐQT đến ngày 27 tháng 4 năm 2024,numeric__Đơn vị tính: VNDThu nhập > Năm nay > 1.555.000.000 > 209.000.000 > 2.006.040.000,numeric__Đơn vị tính: VNDThu nhập > Năm trước > 2.150.000.000 > 730.000.000 > 2.223.240.000
Ông Lê Xuân Long,Ông Lê Xuân Long,Ông Lê Xuân Long,Ủy viên HĐQT kiểm Tổng Giám đốc,660.000.000,460.000.000,,660000000.0,460000000.0
Ông Nguyễn Đức Mạnh,Ông Nguyễn Đức Mạnh,Ông Nguyễn Đức Mạnh,Ủy viên HĐQT đến ngày 27 tháng 4 năm 2024,63.333.335,253.333.338,,63333335.0,253333338.0
Ông Hoàng Đình Hùng,Ông Hoàng Đình Hùng,Ông Hoàng Đình Hùng,Thành viên ủy ban kiểm toán,661.500.000,791.709.957,,661500000.0,791709957.0
Ông Chu Tuấn Anh,Ông Chu Tuấn Anh,Ông Chu Tuấn Anh,Phó Tổng Giám đốc đến ngày 17 tháng 6 năm 2024,667.886.000,1.753.040.000,,667886000.0,1753040000.0
Bà Trần Thị Quỳnh Anh,Bà Trần Thị Quỳnh Anh,Bà Trần Thị Quỳnh Anh,Thành viên ủy ban kiểm toán từ ngày 27 tháng 4 năm 2024,224.250.000,-,,224250000.0,
Bà Cao Thị Tâm,Bà Cao Thị Tâm,Bà Cao Thị Tâm,Thành viên ủy ban kiểm toán,703.000.000,-,,703000000.0,
Ông Nguyễn Hoàng Trung,Ông Nguyễn Hoàng Trung,Ông Nguyễn Hoàng Trung,Thành viên HĐQT,446.917.000,,,446917000.0,
Ông Lê Xuân Tuấn,Ông Lê Xuân Tuấn,Ông Lê Xuân Tuấn,Thành viên HĐQT,711.220.000,648.942.381,,711220000.0,648942381.0
Ông Trần Tiến Dùng,Ông Trần Tiến Dùng,Ông Trần Tiến Dùng,Phó Tổng Giám đốc từ ngày 27 tháng 4 năm 2024,,,,,
,,,,1.366.440.000,1.342.440.000,,1366440000.0,1342440000.0
TỔNG CỘNG,Ông Trần Tiến Dùng > TỔNG CỘNG,TỔNG CỘNG,,9.274.586.335,10.352.705.676,,9274586335.0,10352705676.0
