row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Tạm ứng (i),Ngắn hạn > Tạm ứng (i),Tạm ứng (i),78.951.435.594,99.212.729.863,78951435594.0,99212729863.0
Phải thu về chi hộ (ii),Ngắn hạn > Phải thu về chi hộ (ii),Phải thu về chi hộ (ii),64.665.029.821,42.841.365.077,64665029821.0,42841365077.0
"Phải thu từ lãi cho vay, lãi tiền gửi và lãi trái phiếu","Ngắn hạn > Phải thu từ lãi cho vay, lãi tiền gửi và lãi trái phiếu","Phải thu từ lãi cho vay, lãi tiền gửi và lãi trái phiếu",2.966.167.571,7.222.664.641,2966167571.0,7222664641.0
Các khoản phải thu ngắn hạn khác,Ngắn hạn > Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,19.049.830.576,10.392.884.709,19049830576.0,10392884709.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,165.632.463.562,159.669.644.290,165632463562.0,159669644290.0
Dự phòng phải thu ngắn hạn khác khó đòi,Ngắn hạn > Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,(3.655.094.341),(5.455.094.342),-3655094341.0,-5455094342.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn khác từ các bên khác,Trong đó: > Phải thu ngắn hạn khác từ các bên khác,Phải thu ngắn hạn khác từ các bên khác,164.876.154.877,134.568.989.290,164876154877.0,134568989290.0
Phải thu ngắn hạn khác từ các bên liên quan(Thuyết minh số 31.2),Trong đó: > Phải thu ngắn hạn khác từ các bên liên quan(Thuyết minh số 31.2),Phải thu ngắn hạn khác từ các bên liên quan(Thuyết minh số 31.2),756.308.685,25.100.655.000,756308685.0,25100655000.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Ký cược, ký quỹ","Dài hạn > Ký cược, ký quỹ","Ký cược, ký quỹ",22.238.096.490,23.215.915.668,22238096490.0,23215915668.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,22.238.096.490,23.215.915.668,22238096490.0,23215915668.0
