row_label_raw,row_label_full,col_0,Thiết bịvăn phòngVND,Phương tiệnvận tảiVND,TổngVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvận tảiVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,9.848.033.299,2.218.967.486.599,2.228.815.519.898,9848033299.0,2218967486599.0,2228815519898.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,2.099.650.000,710.907.394.160,713.007.044.160,2099650000.0,710907394160.0,713007044160.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,(978.659.152),(978.659.152),,-978659152.0,-978659152.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(814.267.500.000),(814.267.500.000),,-814267500000.0,-814267500000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,11.947.683.299,2.114.628.721.607,2.126.576.404.906,11947683299.0,2114628721607.0,2126576404906.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,7.749.634.400,979.230.020.778,986.979.655.178,7749634400.0,979230020778.0,986979655178.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.537.826.365,135.959.121.698,137.496.948.063,1537826365.0,135959121698.0,137496948063.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(774.075.042.812),(774.075.042.812),,-774075042812.0,-774075042812.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,9.287.460.765,341.114.099.664,350.401.560.429,9287460765.0,341114099664.0,350401560429.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,2.098.398.899,1.239.737.465.821,1.241.835.864.720,2098398899.0,1239737465821.0,1241835864720.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,2.660.222.534,1.773.514.621.943,1.776.174.844.477,2660222534.0,1773514621943.0,1776174844477.0
