row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Vận tải Hàng hải Quốc Việt,a. Các khoản phải trả người bán ngắn hạn > Công ty Cổ phần Vận tải Hàng hải Quốc Việt,Công ty Cổ phần Vận tải Hàng hải Quốc Việt,10.009.543.285,10.009.543.285,10.009.543.285,10.009.543.285,10009543285.0,10009543285.0,10009543285.0,10009543285.0
Wallem Ship Management Ltd,a. Các khoản phải trả người bán ngắn hạn > Wallem Ship Management Ltd,Wallem Ship Management Ltd,12.194.243.783,12.194.243.783,11.926.699.609,11.926.699.609,12194243783.0,12194243783.0,11926699609.0,11926699609.0
Phải trả người bán là các bên liên quan (Thuyết minh số 34),a. Các khoản phải trả người bán ngắn hạn > Phải trả người bán là các bên liên quan (Thuyết minh số 34),Phải trả người bán là các bên liên quan (Thuyết minh số 34),380.130.413.985,380.130.413.985,277.600.500.379,277.600.500.379,380130413985.0,380130413985.0,277600500379.0,277600500379.0
Các đối tượng khác,a. Các khoản phải trả người bán ngắn hạn > Các đối tượng khác,Các đối tượng khác,62.221.565.985,62.221.565.985,58.419.768.167,58.419.768.167,62221565985.0,62221565985.0,58419768167.0,58419768167.0
,,,464.555.767.038,464.555.767.038,357.956.511.440,357.956.511.440,464555767038.0,464555767038.0,357956511440.0,357956511440.0
b. Các khoản phải trả người bán dài hạn,b. Các khoản phải trả người bán dài hạn,b. Các khoản phải trả người bán dài hạn,b. Các khoản phải trả người bán dài hạn,b. Các khoản phải trả người bán dài hạn,b. Các khoản phải trả người bán dài hạn,b. Các khoản phải trả người bán dài hạn,,,,
Tập đoàn Dầu khí Quốc gia Việt Nam,b. Các khoản phải trả người bán dài hạn > Tập đoàn Dầu khí Quốc gia Việt Nam,Tập đoàn Dầu khí Quốc gia Việt Nam,259.752.528.000,259.752.528.000,288.613.920.000,288.613.920.000,259752528000.0,259752528000.0,288613920000.0,288613920000.0
,,,259.752.528.000,259.752.528.000,288.613.920.000,288.613.920.000,259752528000.0,259752528000.0,288613920000.0,288613920000.0
Tổng Công ty có khả năng thanh toán toàn bộ số dư phải trả người bán tại ngày 31 tháng 12 năm 2018 và 31 tháng 12 năm 2017.,Tổng Công ty có khả năng thanh toán toàn bộ số dư phải trả người bán tại ngày 31 tháng 12 năm 2018 và 31 tháng 12 năm 2017.,Tổng Công ty có khả năng thanh toán toàn bộ số dư phải trả người bán tại ngày 31 tháng 12 năm 2018 và 31 tháng 12 năm 2017.,Tổng Công ty có khả năng thanh toán toàn bộ số dư phải trả người bán tại ngày 31 tháng 12 năm 2018 và 31 tháng 12 năm 2017.,Tổng Công ty có khả năng thanh toán toàn bộ số dư phải trả người bán tại ngày 31 tháng 12 năm 2018 và 31 tháng 12 năm 2017.,Tổng Công ty có khả năng thanh toán toàn bộ số dư phải trả người bán tại ngày 31 tháng 12 năm 2018 và 31 tháng 12 năm 2017.,Tổng Công ty có khả năng thanh toán toàn bộ số dư phải trả người bán tại ngày 31 tháng 12 năm 2018 và 31 tháng 12 năm 2017.,,,,
"Phải trả người bán dài hạn thế hiện khoản tiền mua tàu vận tải đầu thông trong tài 104.000 DWT từ Tập đoàn Dầu khí Quốc gia Việt Nam với tổng giá trị là 618.458.400.000 đồng. Theo Nghị quyết số 6658/NQ-DKVN ngày 26 tháng 7 năm 2011 của Tập đoàn Dầu khí Quốc gia Việt Nam, khoản công nợ này sẽ được hoàn trả trong vòng 15 năm tính từ khi tàu vận tải dầu thông trong tài 104.000 DWT này đi vào khai thác (tháng 11 năm 2013). Khoản nợ này chịu lãi suất 5% trên dư nợ giảm dân.","Phải trả người bán dài hạn thế hiện khoản tiền mua tàu vận tải đầu thông trong tài 104.000 DWT từ Tập đoàn Dầu khí Quốc gia Việt Nam với tổng giá trị là 618.458.400.000 đồng. Theo Nghị quyết số 6658/NQ-DKVN ngày 26 tháng 7 năm 2011 của Tập đoàn Dầu khí Quốc gia Việt Nam, khoản công nợ này sẽ được hoàn trả trong vòng 15 năm tính từ khi tàu vận tải dầu thông trong tài 104.000 DWT này đi vào khai thác (tháng 11 năm 2013). Khoản nợ này chịu lãi suất 5% trên dư nợ giảm dân.","Phải trả người bán dài hạn thế hiện khoản tiền mua tàu vận tải đầu thông trong tài 104.000 DWT từ Tập đoàn Dầu khí Quốc gia Việt Nam với tổng giá trị là 618.458.400.000 đồng. Theo Nghị quyết số 6658/NQ-DKVN ngày 26 tháng 7 năm 2011 của Tập đoàn Dầu khí Quốc gia Việt Nam, khoản công nợ này sẽ được hoàn trả trong vòng 15 năm tính từ khi tàu vận tải dầu thông trong tài 104.000 DWT này đi vào khai thác (tháng 11 năm 2013). Khoản nợ này chịu lãi suất 5% trên dư nợ giảm dân.","Phải trả người bán dài hạn thế hiện khoản tiền mua tàu vận tải đầu thông trong tài 104.000 DWT từ Tập đoàn Dầu khí Quốc gia Việt Nam với tổng giá trị là 618.458.400.000 đồng. Theo Nghị quyết số 6658/NQ-DKVN ngày 26 tháng 7 năm 2011 của Tập đoàn Dầu khí Quốc gia Việt Nam, khoản công nợ này sẽ được hoàn trả trong vòng 15 năm tính từ khi tàu vận tải dầu thông trong tài 104.000 DWT này đi vào khai thác (tháng 11 năm 2013). Khoản nợ này chịu lãi suất 5% trên dư nợ giảm dân.","Phải trả người bán dài hạn thế hiện khoản tiền mua tàu vận tải đầu thông trong tài 104.000 DWT từ Tập đoàn Dầu khí Quốc gia Việt Nam với tổng giá trị là 618.458.400.000 đồng. Theo Nghị quyết số 6658/NQ-DKVN ngày 26 tháng 7 năm 2011 của Tập đoàn Dầu khí Quốc gia Việt Nam, khoản công nợ này sẽ được hoàn trả trong vòng 15 năm tính từ khi tàu vận tải dầu thông trong tài 104.000 DWT này đi vào khai thác (tháng 11 năm 2013). Khoản nợ này chịu lãi suất 5% trên dư nợ giảm dân.","Phải trả người bán dài hạn thế hiện khoản tiền mua tàu vận tải đầu thông trong tài 104.000 DWT từ Tập đoàn Dầu khí Quốc gia Việt Nam với tổng giá trị là 618.458.400.000 đồng. Theo Nghị quyết số 6658/NQ-DKVN ngày 26 tháng 7 năm 2011 của Tập đoàn Dầu khí Quốc gia Việt Nam, khoản công nợ này sẽ được hoàn trả trong vòng 15 năm tính từ khi tàu vận tải dầu thông trong tài 104.000 DWT này đi vào khai thác (tháng 11 năm 2013). Khoản nợ này chịu lãi suất 5% trên dư nợ giảm dân.","Phải trả người bán dài hạn thế hiện khoản tiền mua tàu vận tải đầu thông trong tài 104.000 DWT từ Tập đoàn Dầu khí Quốc gia Việt Nam với tổng giá trị là 618.458.400.000 đồng. Theo Nghị quyết số 6658/NQ-DKVN ngày 26 tháng 7 năm 2011 của Tập đoàn Dầu khí Quốc gia Việt Nam, khoản công nợ này sẽ được hoàn trả trong vòng 15 năm tính từ khi tàu vận tải dầu thông trong tài 104.000 DWT này đi vào khai thác (tháng 11 năm 2013). Khoản nợ này chịu lãi suất 5% trên dư nợ giảm dân.",,,,
Khoản nợ này được hoàn trả theo lịch sau:,Khoản nợ này được hoàn trả theo lịch sau:,Khoản nợ này được hoàn trả theo lịch sau:,Khoản nợ này được hoàn trả theo lịch sau:,Khoản nợ này được hoàn trả theo lịch sau:,Khoản nợ này được hoàn trả theo lịch sau:,Khoản nợ này được hoàn trả theo lịch sau:,,,,
,,,,,Số cuối năm,Số đầu năm,,,,
,,,,,VND,VND,,,,
Trong vòng một năm,Khoản nợ này được hoàn trả theo lịch sau: > Trong vòng một năm,Trong vòng một năm,,,57.722.784.000,28.861.392.000,,,57722784000.0,28861392000.0
Trong năm thứ hai,Khoản nợ này được hoàn trả theo lịch sau: > Trong năm thứ hai,Trong năm thứ hai,,,28.861.392.000,28.861.392.000,,,28861392000.0,28861392000.0
Từ năm thứ ba đến năm thứ năm,Khoản nợ này được hoàn trả theo lịch sau: > Từ năm thứ ba đến năm thứ năm,Từ năm thứ ba đến năm thứ năm,,,86.584.176.000,86.584.176.000,,,86584176000.0,86584176000.0
Sau năm năm,Khoản nợ này được hoàn trả theo lịch sau: > Sau năm năm,Sau năm năm,,,144.306.960.000,173.168.352.000,,,144306960000.0,173168352000.0
,,,,,317.475.312.000,317.475.312.000,,,317475312000.0,317475312000.0
Trừ: Số phải trả trong vòng 12 tháng (được trình bày ở phải trả người bán ngắn hạn),Khoản nợ này được hoàn trả theo lịch sau: > Trừ: Số phải trả trong vòng 12 tháng (được trình bày ở phải trả người bán ngắn hạn),Trừ: Số phải trả trong vòng 12 tháng (được trình bày ở phải trả người bán ngắn hạn),,,(57.722.784.000),(28.861.392.000),,,-57722784000.0,-28861392000.0
Số phải trả sau 12 tháng,Khoản nợ này được hoàn trả theo lịch sau: > Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,,,259.752.528.000,288.613.920.000,,,259752528000.0,288613920000.0
