row_label_raw,row_label_full,col_0,Chi phísửa chữa lớntài sản cố địnhVND,Dự phòng khácVND,TổngVND,numeric__Chi phísửa chữa lớntài sản cố địnhVND,numeric__Dự phòng khácVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,85.819.307.867,1.543.712.968,87.363.020.835,85819307867.0,1543712968.0,87363020835.0
Trích lập dự phòng,Trích lập dự phòng,Trích lập dự phòng,88.082.818.006,159.585.157,88.242.403.163,88082818006.0,159585157.0,88242403163.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(569.291.159),-,(569.291.159),-569291159.0,,-569291159.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(19.647.371.601),(1.543.712.968),(21.191.084.569),-19647371601.0,-1543712968.0,-21191084569.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,153.685.463.113,159.585.157,153.845.048.270,153685463113.0,159585157.0,153845048270.0
,,,,Số cuối nămVND,Số đầu nămVND,,,
Chi tiết:,Chi tiết:,Chi tiết:,,,,,,
Dự phòng phải trả ngắn hạn,Chi tiết: > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,,145.087.941.127,4.388.729.676,,145087941127.0,4388729676.0
Dự phòng phải trả dài hạn,Chi tiết: > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,,8.757.107.143,82.974.291.159,,8757107143.0,82974291159.0
,,,,153.845.048.270,87.363.020.835,,153845048270.0,87363020835.0
