row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối nămVND,Giá trị ghi số > Số đầu nămVND,numeric__Giá trị ghi số > Số cuối nămVND,numeric__Giá trị ghi số > Số đầu nămVND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,384.800.687.221,955.762.454.141,384800687221.0,955762454141.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.747.614.496.492,1.871.867.151.388,1747614496492.0,1871867151388.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,1.196.783.474.800,599.756.262.300,1196783474800.0,599756262300.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,3.329.198.658.513,3.427.385.867.829,3329198658513.0,3427385867829.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,1.979.590.477.523,1.819.698.299.438,1979590477523.0,1819698299438.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,943.264.795.290,873.987.541.521,943264795290.0,873987541521.0
Chỉ phí phải trả,Công nợ tài chính > Chỉ phí phải trả,Chỉ phí phải trả,49.774.335.651,28.877.281.726,49774335651.0,28877281726.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,2.972.629.608.464,2.722.563.122.685,2972629608464.0,2722563122685.0
