row_label_raw,row_label_full,Công ty mẹ
Công ty con,Công ty con,Công ty con
Công ty con,Công ty con,Công ty con
Công ty con,Công ty con,Công ty con
Công ty con,Công ty con,Công ty con
Chuyển thành công ty liên kết(Đã thoại vốn ngày 20 tháng 9 năm 2018),Chuyển thành công ty liên kết(Đã thoại vốn ngày 20 tháng 9 năm 2018),Chuyển thành công ty liên kết(Đã thoại vốn ngày 20 tháng 9 năm 2018)
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh
Công ty liên kết,Công ty liên kết,Công ty liên kết
Công ty con của PVN,Công ty con của PVN,Công ty con của PVN
Công ty con của PVN,Công ty con của PVN,Công ty con của PVN
Công ty con của PVN,Công ty con của PVN,Công ty con của PVN
