row_label_raw,row_label_full,col_0,Giá trị ghi số VND,numeric__Giá trị ghi số VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,78.902.585.584,78902585584.0
Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,182.106.557.701,182106557701.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,151.102.592.287,151102592287.0
Hàng tồn kho – thuần,Hàng tồn kho – thuần,Hàng tồn kho – thuần,85.436.781.167,85436781167.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,22.055.083.092,22055083092.0
Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,433.360.510.127,433360510127.0
Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,5.774.393.522,5774393522.0
Lợi thế thương mại – thuần,Lợi thế thương mại – thuần,Lợi thế thương mại – thuần,29.580.330.095,29580330095.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,133.178.705.955,133178705955.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,54.202.926.349,54202926349.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(119.419.225.850),-119419225850.0
Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,(51.460.873.973),-51460873973.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(479.284.129.571),-479284129571.0
Nợ phải trả ngắn hạn khác,Nợ phải trả ngắn hạn khác,Nợ phải trả ngắn hạn khác,(97.656.711.285),-97656711285.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,(9.467.153.242),-9467153242.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(1.154.878.735),-1154878735.0
Lợi ích cố đông không kiểm soát (Thuyết minh 24),Lợi ích cố đông không kiểm soát (Thuyết minh 24),Lợi ích cố đông không kiểm soát (Thuyết minh 24),(96.919.860.885),-96919860885.0
Tài sản và nợ phải trả thuần được chuyển nhượng,Tài sản và nợ phải trả thuần được chuyển nhượng,Tài sản và nợ phải trả thuần được chuyển nhượng,320.337.632.338,320337632338.0
Tiền và các khoản tương đương tiền của MSJ vào ngày chuyển nhượng,Tiền và các khoản tương đương tiền của MSJ vào ngày chuyển nhượng,Tiền và các khoản tương đương tiền của MSJ vào ngày chuyển nhượng,(78.902.585.584),-78902585584.0
Số tiền nhận được từ việc chuyển nhượng cổ phần,Số tiền nhận được từ việc chuyển nhượng cổ phần,Số tiền nhận được từ việc chuyển nhượng cổ phần,315.033.720.000,315033720000.0
Tiền thuần thu được từ chuyển nhượng cổ phần,Tiền thuần thu được từ chuyển nhượng cổ phần,Tiền thuần thu được từ chuyển nhượng cổ phần,236.131.134.416,236131134416.0
