row_label_raw,row_label_full,Tiền thu từ phát hành cổ phiếu,31,56.455.185.000,-,numeric__31,numeric__56.455.185.000,numeric__-
Tiền thu từ phát hành lại cổ phiếu quỹ,Tiền thu từ phát hành lại cổ phiếu quỹ,Tiền thu từ phát hành lại cổ phiếu quỹ,31,-,495.372.840.000,31.0,,495372840000.0
Tiền thu từ phát hành cổ phiếu ở công ty con,Tiền thu từ phát hành cổ phiếu ở công ty con,Tiền thu từ phát hành cổ phiếu ở công ty con,31,38.345.000.000,-,31.0,38345000000.0,
Tiền thu từ các khoản vay ngân hàng,Tiền thu từ các khoản vay ngân hàng,Tiền thu từ các khoản vay ngân hàng,33,19.834.325.634.311,23.796.206.009.438,33.0,19834325634311.0,23796206009438.0
Tiền trả nợ gốc vay ngân hàng,Tiền trả nợ gốc vay ngân hàng,Tiền trả nợ gốc vay ngân hàng,34,(20.452.689.345.551),(22.742.364.432.151),34.0,-20452689345551.0,-22742364432151.0
Tiền chi trả cổ tức,Tiền chi trả cổ tức,Tiền chi trả cổ tức,36,(113.973.663.980),(263.824.043.500),36.0,-113973663980.0,-263824043500.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(637.537.190.220),1.285.390.373.787,40.0,-637537190220.0,1285390373787.0
Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),50,(7.425.799.160.937),9.201.407.444.351,50.0,-7425799160937.0,9201407444351.0
Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,13.013.125.962.658,3.818.494.309.952,60.0,13013125962658.0,3818494309952.0
Ảnh hưởng của thay đổi tỷ giá hối đoáiđối với tiền và các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoáiđối với tiền và các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoáiđối với tiền và các khoản tương đương tiền,61,(35.107.277),332.968.447,61.0,-35107277.0,332968447.0
Chênh lệch quy đổi ngoại tệ,Chênh lệch quy đổi ngoại tệ,Chênh lệch quy đổi ngoại tệ,61,986.758.960,(7.108.760.092),61.0,986758960.0,-7108760092.0
Tiền và các khoản tương đương tiền cuối năm\( (70 = 50 + 60 + 61) \) (Thuyết minh 6),Tiền và các khoản tương đương tiền cuối năm\( (70 = 50 + 60 + 61) \) (Thuyết minh 6),Tiền và các khoản tương đương tiền cuối năm\( (70 = 50 + 60 + 61) \) (Thuyết minh 6),70,5.588.278.453.404,13.013.125.962.658,70.0,5588278453404.0,13013125962658.0
