row_label_raw,row_label_full,col_0,Chi phí đất trả trước và phí sử dụng hạ tầng VND,Lợi thế kinh doanh từ cổ phần hóa VND,Công cụ và dụng cụ VND,Chi phí sắp xếp khoản vay VND,Tổng VND,numeric__Chi phí đất trả trước và phí sử dụng hạ tầng VND,numeric__Lợi thế kinh doanh từ cổ phần hóa VND,numeric__Công cụ và dụng cụ VND,numeric__Chi phí sắp xếp khoản vay VND,numeric__Tổng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,581.657.350.058,12.537.484.616,82.359.461.690,17.167.638.878,693.721.935.242,581657350058.0,12537484616.0,82359461690.0,17167638878.0,693721935242.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,567.322.200,-,12.506.717.453,-,13.074.039.653,567322200.0,,12506717453.0,,13074039653.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,-,34.652.024.363,-,34.652.024.363,,,34652024363.0,,34652024363.0
Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,6.211.919,-,6.211.919,,,6211919.0,,6211919.0
Phân loại lại từ chi phí trả trước ngắn hạn,Phân loại lại từ chi phí trả trước ngắn hạn,Phân loại lại từ chi phí trả trước ngắn hạn,-,-,1.184.201.820,-,1.184.201.820,,,1184201820.0,,1184201820.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(13.770.910.197),(3.134.371.153),(49.789.827.895),(5.656.333.311),(72.351.442.556),-13770910197.0,-3134371153.0,-49789827895.0,-5656333311.0,-72351442556.0
Thanh lý,Thanh lý,Thanh lý,-,-,(232.794.950),-,(232.794.950),,,-232794950.0,,-232794950.0
Ngừng hợp nhất một công ty con,Ngừng hợp nhất một công ty con,Ngừng hợp nhất một công ty con,-,-,(2.173.931.691),-,(2.173.931.691),,,-2173931691.0,,-2173931691.0
Chênh lệch quy đổi ngoại tệ,Chênh lệch quy đổi ngoại tệ,Chênh lệch quy đổi ngoại tệ,-,-,2.279,-,2.279,,,2279.0,,2279.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,568.453.762.061,9.403.113.463,78.512.064.988,11.511.305.567,667.880.246.079,568453762061.0,9403113463.0,78512064988.0,11511305567.0,667880246079.0
