row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy tínhVND,Quyền khai tháctài nguyênnước khoángVND,Nhân hiệuVND,Quan hệkhách hàngVND,Tài nguyênnước khoángVND,TổngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy tínhVND,numeric__Quyền khai tháctài nguyênnước khoángVND,numeric__Nhân hiệuVND,numeric__Quan hệkhách hàngVND,numeric__Tài nguyênnước khoángVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,119.085.818.402,304.069.093.651,73.012.186.348,1.099.626.396.615,423.797.765.850,412.697.763.511,2.432.289.024.377,119085818402.0,304069093651.0,73012186348.0,1099626396615.0,423797765850.0,412697763511.0,2432289024377.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,144.900.000,6.570.000.000,-,-,-,6.714.900.000,,144900000.0,6570000000.0,,,,6714900000.0
Chuyển từ chi phí xây dựngcơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựngcơ bản dở dang,Chuyển từ chi phí xây dựngcơ bản dở dang,-,847.745.163,-,-,-,-,847.745.163,,847745163.0,,,,,847745163.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,-,(208.706.681),-,-,-,(208.706.681),,,-208706681.0,,,,-208706681.0
Ngừng hợp nhất một công ty con,Nguyên giá > Ngừng hợp nhất một công ty con,Ngừng hợp nhất một công ty con,-,156.480.877,-,(14.298.498.242),(26.456.731.772),-,(40.598.749.137),,156480877.0,,-14298498242.0,-26456731772.0,,-40598749137.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,(2.413.908.000),-,-,-,(2.413.908.000),,,-2413908000.0,,,,-2413908000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,119.085.818.402,305.218.219.691,76.959.571.667,1.085.327.898.373,397.341.034.078,412.697.763.511,2.396.630.305.722,119085818402.0,305218219691.0,76959571667.0,1085327898373.0,397341034078.0,412697763511.0,2396630305722.0
Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Gía trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,44.008.389.581,237.936.708.605,27.294.637.064,664.592.381.519,387.884.991.481,139.201.791.936,1.500.918.900.186,44008389581.0,237936708605.0,27294637064.0,664592381519.0,387884991481.0,139201791936.0,1500918900186.0
Khấu hao trong năm,Gía trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.953.213.512,36.971.069.594,3.157.274.747,23.613.694.508,5.671.498.364,21.934.668.276,94.301.419.001,2953213512.0,36971069594.0,3157274747.0,23613694508.0,5671498364.0,21934668276.0,94301419001.0
Xóa số,Gía trị hao mòn lũy kế > Xóa số,Xóa số,-,-,(208.706.681),-,-,-,(208.706.681),,,-208706681.0,,,,-208706681.0
Ngừng hợp nhất một công ty con,Gía trị hao mòn lũy kế > Ngừng hợp nhất một công ty con,Ngừng hợp nhất một công ty con,-,156.480.877,-,(8.524.104.720),(26.456.731.772),-,(34.824.355.615),,156480877.0,,-8524104720.0,-26456731772.0,,-34824355615.0
Số dư cuối năm,Gía trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,46.961.603.093,275.064.259.076,30.243.205.130,679.681.971.307,367.099.758.073,161.136.460.212,1.560.187.256.891,46961603093.0,275064259076.0,30243205130.0,679681971307.0,367099758073.0,161136460212.0,1560187256891.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,75.077.428.821,66.132.385.046,45.717.549.284,435.034.015.096,35.912.774.369,273.495.971.575,931.370.124.191,75077428821.0,66132385046.0,45717549284.0,435034015096.0,35912774369.0,273495971575.0,931370124191.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,72.124.215.309,30.153.960.615,46.716.366.537,405.645.927.066,30.241.276.005,251.561.303.299,836.443.048.831,72124215309.0,30153960615.0,46716366537.0,405645927066.0,30241276005.0,251561303299.0,836443048831.0
