row_label_raw,row_label_full,col_0,31/12/2022Giá gốc/Số có khả năngtrả nợVND,1/1/2022Giá gốc/Số có khả năngtrả nợVND,numeric__31/12/2022Giá gốc/Số có khả năngtrả nợVND,numeric__1/1/2022Giá gốc/Số có khả năngtrả nợVND
Phải trả cho các bên thứ ba,Phải trả cho các bên thứ ba,Phải trả cho các bên thứ ba,1.360.413.359.945,1.584.541.695.493,1360413359945.0,1584541695493.0
Phải trả cho các bên liên quan,Phải trả cho các bên liên quan,Phải trả cho các bên liên quan,159.430.435.048,13.866.237.901,159430435048.0,13866237901.0
,,,1.519.843.794.993,1.598.407.933.394,1519843794993.0,1598407933394.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Ngắn hạn,Trong đó: > - Ngắn hạn,- Ngắn hạn,1.495.519.562.993,1.573.394.388.394,1495519562993.0,1573394388394.0
- Dài hạn,Trong đó: > - Dài hạn,- Dài hạn,24.324.232.000,25.013.545.000,24324232000.0,25013545000.0
,,,1.519.843.794.993,1.598.407.933.394,1519843794993.0,1598407933394.0
