row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Nâng cấp tài sản thuê VND,Máy móc và thiết bị VND,Thiết bị văn phòng VND,Phương tiện vận chuyển VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Nâng cấp tài sản thuê VND,numeric__Máy móc và thiết bị VND,numeric__Thiết bị văn phòng VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.585.591.651.533,59.361.231.666,5.791.378.365.050,103.391.322.611,26.013.440.409,8.565.736.011.269,2585591651533.0,59361231666.0,5791378365050.0,103391322611.0,26013440409.0,8565736011269.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,42.007.737.156,125.404.000,139.000.000,42.272.141.156,,,42007737156.0,125404000.0,139000000.0,42272141156.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,288.219.853.430,-,368.416.757.487,4.286.731.267,6.412.197.035,667.335.539.219,288219853430.0,,368416757487.0,4286731267.0,6412197035.0,667335539219.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,-,(22.687.000),-,-,(22.687.000),,,-22687000.0,,,-22687000.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(7.418.191.292),-,(65.809.960.995),(919.021.653),(1.355.142.213),(75.502.316.153),-7418191292.0,,-65809960995.0,-919021653.0,-1355142213.0,-75502316153.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,-,(178.800.000),-,-,(178.800.000),,,-178800000.0,,,-178800000.0
Ngừng hợp nhất một công ty con,Nguyên giá > Ngừng hợp nhất một công ty con,Ngừng hợp nhất một công ty con,(125.195.085.562),-,(428.931.155.510),(4.545.209.407),1.326.908.962,(557.344.541.517),-125195085562.0,,-428931155510.0,-4545209407.0,1326908962.0,-557344541517.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.741.198.228.109,59.361.231.666,5.706.860.256.188,102.339.226.818,32.536.404.193,8.642.295.346.974,2741198228109.0,59361231666.0,5706860256188.0,102339226818.0,32536404193.0,8642295346974.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,641.117.403.141,59.361.231.666,3.139.921.757.056,65.181.809.112,12.953.636.807,3.918.535.837.782,641117403141.0,59361231666.0,3139921757056.0,65181809112.0,12953636807.0,3918535837782.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,124.237.297.660,-,523.078.838.320,10.855.932.163,3.162.214.367,661.334.282.510,124237297660.0,,523078838320.0,10855932163.0,3162214367.0,661334282510.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,-,(16.475.081),-,-,(16.475.081),,,-16475081.0,,,-16475081.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(5.196.253.422),-,(62.074.980.178),(919.021.653),(1.355.142.213),(69.545.397.466),-5196253422.0,,-62074980178.0,-919021653.0,-1355142213.0,-69545397466.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,-,(178.800.000),-,-,(178.800.000),,,-178800000.0,,,-178800000.0
Ngừng hợp nhất một công ty con,Giá trị hao mòn lũy kế > Ngừng hợp nhất một công ty con,Ngừng hợp nhất một công ty con,(617.696.621),-,(122.958.088.362),(1.735.155.369),1.326.908.962,(123.984.031.390),-617696621.0,,-122958088362.0,-1735155369.0,1326908962.0,-123984031390.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,759.540.750.758,59.361.231.666,3.477.772.251.755,73.383.564.253,16.087.617.923,4.386.145.416.355,759540750758.0,59361231666.0,3477772251755.0,73383564253.0,16087617923.0,4386145416355.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.944.474.248.392,-,2.651.456.607.994,38.209.513.499,13.059.803.602,4.647.200.173.487,1944474248392.0,,2651456607994.0,38209513499.0,13059803602.0,4647200173487.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.981.657.477.351,-,2.229.088.004.433,28.955.662.565,16.448.786.270,4.256.149.930.619,1981657477351.0,,2229088004433.0,28955662565.0,16448786270.0,4256149930619.0
