row_label_raw,row_label_full,col_0,Thực phẩm,Thực phẩm_1,Đồ uống,Đồ uống_1,Sản phẩm chăm sóc gia đình,Sản phẩm chăm sóc gia đình_1,Hợp nhất,Hợp nhất_1,numeric__Thực phẩm,numeric__Thực phẩm_1,numeric__Đồ uống,numeric__Đồ uống_1,numeric__Sản phẩm chăm sóc gia đình,numeric__Sản phẩm chăm sóc gia đình_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,31/12/2022VND,1/1/2022VND,31/12/2022VND,1/1/2022VND,31/12/2022VND,1/1/2022VND,31/12/2022VND,1/1/2022VND,,,,,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,6.061.217.312.836,6.341.562.475.475,2.485.099.017.086,2.380.405.361.900,1.142.748.260.755,1.168.414.276.152,9.689.064.590.677,9.890.382.113.527,6061217312836.0,6341562475475.0,2485099017086.0,2380405361900.0,1142748260755.0,1168414276152.0,9689064590677.0,9890382113527.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,23.827.578.494.843,20.313.768.045.614,,,,,,,23827578494843.0,20313768045614.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,33.516.643.085.520,30.204.150.159.141,,,,,,,33516643085520.0,30204150159141.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.566.471.651.304,1.689.753.295.769,538.029.940.485,665.686.754.449,323.937.928.398,349.239.405.269,2.428.439.520.187,2.704.679.455.487,1566471651304.0,1689753295769.0,538029940485.0,665686754449.0,323937928398.0,349239405269.0,2428439520187.0,2704679455487.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,8.642.558.358.179,10.493.776.766.273,,,,,,,8642558358179.0,10493776766273.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,11.070.997.878.366,13.198.456.221.760,,,,,,,11070997878366.0,13198456221760.0
,,,2022VND,2021VND,2022VND,2021VND,2022VND,2021VND,2022VND,2021VND,,,,,,,,
Chi tiêu vốn,Chi tiêu vốn,Chi tiêu vốn,853.860.039.613,824.511.240.305,359.864.556.246,99.497.876.840,4.247.818.197,13.428.784.970,1.217.972.414.056,937.437.902.115,853860039613.0,824511240305.0,359864556246.0,99497876840.0,4247818197.0,13428784970.0,1217972414056.0,937437902115.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,,,38.285.553.753,45.316.925.367,,,,,,,38285553753.0,45316925367.0
Khẩu hao tài sản cố định hữu hình và bắt động sản đầu tư,Khẩu hao tài sản cố định hữu hình và bắt động sản đầu tư,Khẩu hao tài sản cố định hữu hình và bắt động sản đầu tư,482.858.841.527,424.086.500.012,151.337.077.469,157.878.386.269,24.617.619.546,26.905.566.112,658.813.538.542,608.870.452.393,482858841527.0,424086500012.0,151337077469.0,157878386269.0,24617619546.0,26905566112.0,658813538542.0,608870452393.0
Khẩu hao tài sản cố định hữu hình không phân bổ,Khẩu hao tài sản cố định hữu hình không phân bổ,Khẩu hao tài sản cố định hữu hình không phân bổ,,,,,,,4.671.686.840,4.858.533.036,,,,,,,4671686840.0,4858533036.0
"Khẩu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn","Khẩu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn","Khẩu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn",39.216.396.843,48.630.726.333,84.248.789.612,155.064.571.335,35.596.177.625,35.914.600.587,159.061.364.080,239.609.898.255,39216396843.0,48630726333.0,84248789612.0,155064571335.0,35596177625.0,35914600587.0,159061364080.0,239609898255.0
Khẩu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Khẩu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Khẩu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,,,,,,,52.707.880.718,44.520.181.864,,,,,,,52707880718.0,44520181864.0
