row_label_raw,row_label_full,col_0,Vốn điều lệ,Thăng dư vốn cổ phần,Cổ phiếu Quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dữ trữ bổ sung vốn điều lệ,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu Quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dữ trữ bổ sung vốn điều lệ,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
Số dư tại 1/1/2014,Số dư tại 1/1/2014,Số dư tại 1/1/2014,4.250.000,2.552.958,(7),99,302.701,803.809,100.624,8.010.184,4250000.0,2552958.0,-7.0,99.0,302701.0,803809.0,100624.0,8010184.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,481.535,481.535,,,,,,,481535.0,481535.0
Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,-,-,-,-,7.775,4.093,(11.868),-,,,,,7775.0,4093.0,-11868.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(4.899),(4.899),,,,,,,-4899.0,-4899.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,(134),(134),,,,,,,-134.0,-134.0
Số dư tại 1/1/2015,Số dư tại 1/1/2015,Số dư tại 1/1/2015,4.250.000,2.552.958,(7),99,310.476,807.902,565.258,8.486.686,4250000.0,2552958.0,-7.0,99.0,310476.0,807902.0,565258.0,8486686.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,491.052,491.052,,,,,,,491052.0,491052.0
Tăng vốn trong năm (*),Tăng vốn trong năm (*),Tăng vốn trong năm (*),595.000,(595.000),(5),-,-,-,-,(5),595000.0,-595000.0,-5.0,,,,,-5.0
Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,-,-,-,-,45.746,24.077,(69.823),-,,,,,45746.0,24077.0,-69823.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(14.410),(14.410),,,,,,,-14410.0,-14410.0
Cổ tức phải trả cho cổ đông,Cổ tức phải trả cho cổ đông,Cổ tức phải trả cho cổ đông,-,-,-,-,-,-,(382.499),(382.499),,,,,,,-382499.0,-382499.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,(13.799),-,667,(13.132),,,,,-13799.0,,667.0,-13132.0
Số dư tại 31/12/2015,Số dư tại 31/12/2015,Số dư tại 31/12/2015,4.845.000,1.957.958,(12),99,342.423,831.979,590.245,8.567.692,4845000.0,1957958.0,-12.0,99.0,342423.0,831979.0,590245.0,8567692.0
