row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiện vântải và thiết bịtruyền đãnTriệu đồng,"Thiết bị, dụng cụquản lýTriệu đồng",TSCĐ hữu hìnhkhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiện vântải và thiết bịtruyền đãnTriệu đồng,"numeric__Thiết bị, dụng cụquản lýTriệu đồng",numeric__TSCĐ hữu hìnhkhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ: > Số dư đầu năm,Số dư đầu năm,98.501,384.004,51.084,24.040,83.205,640.834,98501.0,384004.0,51084.0,24040.0,83205.0,640834.0
Mua trong năm,Nguyên giá TSCĐ: > Mua trong năm,Mua trong năm,4.472,34.877,3.987,4.491,14.139,61.966,4472.0,34877.0,3987.0,4491.0,14139.0,61966.0
Tăng khác,Nguyên giá TSCĐ: > Tăng khác,Tăng khác,-,-,-,26,-,26,,,,26.0,,26.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(341),-,-,(341),,,-341.0,,,-341.0
Số dư cuối năm,Nguyên giá TSCĐ: > Số dư cuối năm,Số dư cuối năm,102.973,418.881,54.730,28.557,97.344,702.485,102973.0,418881.0,54730.0,28557.0,97344.0,702485.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,22.860,244.102,44.303,17.952,40.322,369.539,22860.0,244102.0,44303.0,17952.0,40322.0,369539.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,8.797,37.477,3.464,4.049,13.502,67.289,8797.0,37477.0,3464.0,4049.0,13502.0,67289.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(341),-,-,(341),,,-341.0,,,-341.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,31.657,281.579,47.426,22.001,53.824,436.487,31657.0,281579.0,47426.0,22001.0,53824.0,436487.0
Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,Giá trị còn lại của TSCĐ:,,,,,,
Tại ngày đầu năm,Giá trị còn lại của TSCĐ: > Tại ngày đầu năm,Tại ngày đầu năm,75.641,139.902,6.781,6.088,42.883,271.295,75641.0,139902.0,6781.0,6088.0,42883.0,271295.0
Tại ngày cuối năm,Giá trị còn lại của TSCĐ: > Tại ngày cuối năm,Tại ngày cuối năm,71.316,137.302,7.304,6.556,43.520,265.998,71316.0,137302.0,7304.0,6556.0,43520.0,265998.0
