row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Quá hạn_2,Quá hạn_3,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Quá hạn_2,numeric__Quá hạn_3
,,,Dưới 90 ngày,91-180 ngày,181-360 ngày,Trên 360 ngày,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,-,-,,,,
- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,-,-,-,-,,,,
- Cho vay các TCTD khác,- Cho vay các TCTD khác,- Cho vay các TCTD khác,-,-,-,-,,,,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,-,-,,,,
Cho vay khách hàng,Chứng khoán kinh doanh > Cho vay khách hàng,Cho vay khách hàng,74.455,34.422,46.151,367.757,74455.0,34422.0,46151.0,367757.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,-,-,-,-,,,,
- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,-,-,-,-,,,,
- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,-,-,-,-,,,,
Tài sản có khác,Tài sản có khác,Tài sản có khác,-,-,-,-,,,,
"- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu",-,-,-,-,,,,
- Các khoản phải thu,- Các khoản phải thu,- Các khoản phải thu,-,-,-,-,,,,
- Tài sản Có khác,- Tài sản Có khác,- Tài sản Có khác,-,-,-,-,,,,
Tổng cộng,- Tài sản Có khác > Tổng cộng,Tổng cộng,74.455,34.422,46.151,367.757,74455.0,34422.0,46151.0,367757.0
