row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh,Giá trị ghi sổ > Giữ đến ngày đáo hạn,Giá trị ghi sổ > Cho vay và phải thu,Giá trị ghi sổ > Sẵn sàng để bán,Giá trị ghi sổ > Tài sản hạch toán theo giá trị phân bổ,Giá trị ghi sổ > Tổng công giá trị ghi sổ,Đơn vị: Triệu đồng > Giá trị hợp lý,numeric__Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạn,numeric__Giá trị ghi sổ > Cho vay và phải thu,numeric__Giá trị ghi sổ > Sẵn sàng để bán,numeric__Giá trị ghi sổ > Tài sản hạch toán theo giá trị phân bổ,numeric__Giá trị ghi sổ > Tổng công giá trị ghi sổ,numeric__Đơn vị: Triệu đồng > Giá trị hợp lý
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,-,-,849.362,849.362,849.362,,,,,849362.0,849362.0,849362.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,-,6.891.501,6.891.501,(*),,,,,6891501.0,6891501.0,
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,-,-,761.774,761.774,(*),,,,,761774.0,761774.0,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,-,76.363,76.363,(*),,,,,76363.0,76363.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,47.777.031,-,-,47.777.031,(*),,,47777031.0,,,47777031.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,22.978.623,-,22.978.623,(*),,,,22978623.0,,22978623.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,3.757.699,-,-,-,3.757.699,(*),,3757699.0,,,,3757699.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,2.211.474,-,187.552,2.399.026,(*),,,2211474.0,,187552.0,2399026.0,
,,,-,3.757.699,49.988.505,22.978.623,8.766.552,85.491.379,(*),,3757699.0,49988505.0,22978623.0,8766552.0,85491379.0,
